book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,hau,daa,0,,7227,BLEU,14.72/44.54/18.62/9.86/6.13/0.984/219241/222870
ALL,hau,daa,0,,7227,CHRF3,36.27
ALL,hau,daa,0,,7227,WER,64.13
ALL,hau,daa,0,,7227,TER,83.71
ALL,hau,daa,0,,7227,spBLEU,21.08
MAT,hau,daa,0,,1066,BLEU,30.17/54.84/33.36/23.95/18.91/1.000/30257/29196
MAT,hau,daa,0,,1066,CHRF3,49.66
MAT,hau,daa,0,,1066,WER,52.87
MAT,hau,daa,0,,1066,TER,68.88
MAT,hau,daa,0,,1066,spBLEU,35.79
LUK,hau,daa,0,,1143,BLEU,23.10/50.80/27.01/17.08/12.14/1.000/32406/31439
LUK,hau,daa,0,,1143,CHRF3,44.13
LUK,hau,daa,0,,1143,WER,58.43
LUK,hau,daa,0,,1143,TER,75.18
LUK,hau,daa,0,,1143,spBLEU,29.31
JHN,hau,daa,0,,872,BLEU,15.93/47.58/21.56/10.78/5.82/1.000/25024/24439
JHN,hau,daa,0,,872,CHRF3,39.60
JHN,hau,daa,0,,872,WER,62.10
JHN,hau,daa,0,,872,TER,80.36
JHN,hau,daa,0,,872,spBLEU,22.12
ACT,hau,daa,0,,998,BLEU,11.25/43.85/16.81/7.39/3.33/0.969/31390/32375
ACT,hau,daa,0,,998,CHRF3,35.13
ACT,hau,daa,0,,998,WER,66.31
ACT,hau,daa,0,,998,TER,84.67
ACT,hau,daa,0,,998,spBLEU,18.97
ROM,hau,daa,0,,428,BLEU,6.96/40.88/12.66/4.32/1.50/0.915/13720/14944
ROM,hau,daa,0,,428,CHRF3,30.27
ROM,hau,daa,0,,428,WER,68.31
ROM,hau,daa,0,,428,TER,88.76
ROM,hau,daa,0,,428,spBLEU,14.05
1CO,hau,daa,0,,434,BLEU,6.27/38.86/11.30/3.70/1.14/0.956/13447/14050
1CO,hau,daa,0,,434,CHRF3,29.73
1CO,hau,daa,0,,434,WER,69.40
1CO,hau,daa,0,,434,TER,91.28
1CO,hau,daa,0,,434,spBLEU,12.94
2CO,hau,daa,0,,253,BLEU,5.89/37.74/10.65/3.47/1.24/0.914/8266/9009
2CO,hau,daa,0,,253,CHRF3,27.56
2CO,hau,daa,0,,253,WER,69.56
2CO,hau,daa,0,,253,TER,90.75
2CO,hau,daa,0,,253,spBLEU,10.80
GAL,hau,daa,0,,148,BLEU,7.28/39.36/11.66/4.38/1.74/0.945/4515/4769
GAL,hau,daa,0,,148,CHRF3,29.67
GAL,hau,daa,0,,148,WER,72.72
GAL,hau,daa,0,,148,TER,92.38
GAL,hau,daa,0,,148,spBLEU,13.51
EPH,hau,daa,0,,153,BLEU,5.64/37.77/10.61/3.39/1.09/0.910/4138/4529
EPH,hau,daa,0,,153,CHRF3,28.12
EPH,hau,daa,0,,153,WER,71.27
EPH,hau,daa,0,,153,TER,92.01
EPH,hau,daa,0,,153,spBLEU,12.35
PHP,hau,daa,0,,104,BLEU,4.42/39.93/10.51/2.95/0.73/0.807/2920/3547
PHP,hau,daa,0,,104,CHRF3,26.48
PHP,hau,daa,0,,104,WER,69.08
PHP,hau,daa,0,,104,TER,89.03
PHP,hau,daa,0,,104,spBLEU,10.38
COL,hau,daa,0,,94,BLEU,5.54/37.36/9.57/3.06/0.97/0.972/2768/2847
COL,hau,daa,0,,94,CHRF3,29.27
COL,hau,daa,0,,94,WER,73.30
COL,hau,daa,0,,94,TER,92.02
COL,hau,daa,0,,94,spBLEU,13.06
1TH,hau,daa,0,,89,BLEU,6.27/38.30/11.24/3.83/1.08/0.967/2499/2584
1TH,hau,daa,0,,89,CHRF3,29.57
1TH,hau,daa,0,,89,WER,71.31
1TH,hau,daa,0,,89,TER,91.32
1TH,hau,daa,0,,89,spBLEU,13.33
2TH,hau,daa,0,,47,BLEU,5.51/36.94/10.45/3.27/0.83/0.969/1348/1391
2TH,hau,daa,0,,47,CHRF3,30.36
2TH,hau,daa,0,,47,WER,68.58
2TH,hau,daa,0,,47,TER,90.26
