book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,grc,daa,0,,7213,BLEU,11.81/38.59/14.50/7.48/4.74/0.995/221343/222460
ALL,grc,daa,0,,7213,CHRF3,31.84
ALL,grc,daa,0,,7213,WER,70.88
ALL,grc,daa,0,,7213,TER,90.80
ALL,grc,daa,0,,7213,spBLEU,16.70
MAT,grc,daa,0,,1066,BLEU,25.99/49.56/28.64/20.15/15.96/1.000/30992/29196
MAT,grc,daa,0,,1066,CHRF3,45.44
MAT,grc,daa,0,,1066,WER,59.99
MAT,grc,daa,0,,1066,TER,76.57
MAT,grc,daa,0,,1066,spBLEU,30.98
LUK,grc,daa,0,,1143,BLEU,18.52/44.16/21.45/13.19/9.42/1.000/33140/31439
LUK,grc,daa,0,,1143,CHRF3,38.61
LUK,grc,daa,0,,1143,WER,66.97
LUK,grc,daa,0,,1143,TER,84.20
LUK,grc,daa,0,,1143,spBLEU,23.49
JHN,grc,daa,0,,860,BLEU,12.12/40.73/16.56/7.82/4.09/1.000/26178/24144
JHN,grc,daa,0,,860,CHRF3,35.32
JHN,grc,daa,0,,860,WER,71.99
JHN,grc,daa,0,,860,TER,91.08
JHN,grc,daa,0,,860,spBLEU,16.90
ACT,grc,daa,0,,998,BLEU,8.03/37.33/12.15/4.74/1.93/1.000/32495/32375
ACT,grc,daa,0,,998,CHRF3,30.46
ACT,grc,daa,0,,998,WER,74.39
ACT,grc,daa,0,,998,TER,92.95
ACT,grc,daa,0,,998,spBLEU,13.67
ROM,grc,daa,0,,426,BLEU,4.30/35.04/8.91/2.71/0.76/0.853/12810/14848
ROM,grc,daa,0,,426,CHRF3,25.16
ROM,grc,daa,0,,426,WER,72.59
ROM,grc,daa,0,,426,TER,92.72
ROM,grc,daa,0,,426,spBLEU,9.35
1CO,grc,daa,0,,434,BLEU,4.16/33.94/8.02/2.32/0.73/0.897/12673/14050
1CO,grc,daa,0,,434,CHRF3,24.92
1CO,grc,daa,0,,434,WER,72.69
1CO,grc,daa,0,,434,TER,95.05
1CO,grc,daa,0,,434,spBLEU,9.08
2CO,grc,daa,0,,252,BLEU,3.42/31.18/6.78/1.77/0.52/0.915/8246/8980
2CO,grc,daa,0,,252,CHRF3,23.84
2CO,grc,daa,0,,252,WER,74.04
2CO,grc,daa,0,,252,TER,96.37
2CO,grc,daa,0,,252,spBLEU,7.46
GAL,grc,daa,0,,148,BLEU,4.36/34.76/8.32/2.54/0.78/0.889/4269/4769
GAL,grc,daa,0,,148,CHRF3,25.02
GAL,grc,daa,0,,148,WER,75.41
GAL,grc,daa,0,,148,TER,94.40
GAL,grc,daa,0,,148,spBLEU,9.70
EPH,grc,daa,0,,153,BLEU,3.99/31.40/7.02/2.17/0.65/0.952/4315/4529
EPH,grc,daa,0,,153,CHRF3,25.01
EPH,grc,daa,0,,153,WER,76.44
EPH,grc,daa,0,,153,TER,99.59
EPH,grc,daa,0,,153,spBLEU,8.92
PHP,grc,daa,0,,104,BLEU,3.87/32.83/7.53/2.34/0.77/0.842/3025/3547
PHP,grc,daa,0,,104,CHRF3,22.96
PHP,grc,daa,0,,104,WER,74.80
PHP,grc,daa,0,,104,TER,94.70
PHP,grc,daa,0,,104,spBLEU,7.66
COL,grc,daa,0,,94,BLEU,4.13/30.94/7.12/2.28/0.64/0.975/2776/2847
COL,grc,daa,0,,94,CHRF3,26.24
COL,grc,daa,0,,94,WER,76.80
COL,grc,daa,0,,94,TER,97.08
COL,grc,daa,0,,94,spBLEU,10.49
1TH,grc,daa,0,,89,BLEU,3.52/29.77/6.57/1.70/0.46/1.000/2647/2584
1TH,grc,daa,0,,89,CHRF3,25.42
1TH,grc,daa,0,,89,WER,76.53
1TH,grc,daa,0,,89,TER,99.60
1TH,grc,daa,0,,89,spBLEU,8.33
2TH,grc,daa,0,,47,BLEU,4.36/32.18/7.55/2.35/0.63/1.000/1411/1391
2TH,grc,daa,0,,47,CHRF3,27.57
2TH,grc,daa,0,,47,WER,72.96
2TH,grc,daa,0,,47,TER,96.37
2TH,grc,daa,0,,47,spBLEU,8.44
1TI,grc,daa,0,,112,BLEU,2.86/29.33/5.36/1.32/0.43/0.930/3338/3582
1TI,grc,daa,0,,112,CHRF3,24.14
1TI,grc,daa,0,,112,WER,74.40
1TI,grc,daa,0,,112,TER,96.83
1TI,grc,daa,0,,112,spBLEU,7.55
2TI,grc,daa,0,,83,BLEU,4.45/31.74/7.74/2.47/0.66/0.994/2511/2527
2TI,grc,daa,0,,83,CHRF3,25.84
2TI,grc,daa,0,,83,WER,75.19
2TI,grc,daa,0,,83,TER,96.44
2TI,grc,daa,0,,83,spBLEU,9.03
TIT,grc,daa,0,,46,BLEU,1.93/27.57/4.40/0.68/0.24/0.918/1411/1531
TIT,grc,daa,0,,46,CHRF3,22.93
