book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,ksd,kqw,0,,3159,BLEU,20.80/55.48/27.27/14.75/8.43/0.999/132856/133020
ALL,ksd,kqw,0,,3159,CHRF3,43.45
ALL,ksd,kqw,0,,3159,WER,61.89
ALL,ksd,kqw,0,,3159,TER,77.17
ALL,ksd,kqw,0,,3159,spBLEU,24.95
ROM,ksd,kqw,0,,430,BLEU,18.07/53.95/24.57/12.55/6.99/0.979/17993/18381
ROM,ksd,kqw,0,,430,CHRF3,40.90
ROM,ksd,kqw,0,,430,WER,63.14
ROM,ksd,kqw,0,,430,TER,79.89
ROM,ksd,kqw,0,,430,spBLEU,21.90
1CO,ksd,kqw,0,,435,BLEU,20.32/53.64/26.31/14.53/8.31/1.000/17883/17218
1CO,ksd,kqw,0,,435,CHRF3,43.41
1CO,ksd,kqw,0,,435,WER,63.86
1CO,ksd,kqw,0,,435,TER,79.62
1CO,ksd,kqw,0,,435,spBLEU,24.29
2CO,ksd,kqw,0,,253,BLEU,14.83/49.72/20.86/9.66/4.82/1.000/11299/10740
2CO,ksd,kqw,0,,253,CHRF3,39.55
2CO,ksd,kqw,0,,253,WER,68.63
2CO,ksd,kqw,0,,253,TER,86.19
2CO,ksd,kqw,0,,253,spBLEU,18.36
GAL,ksd,kqw,0,,149,BLEU,19.75/52.96/25.81/13.92/8.09/0.997/5886/5903
GAL,ksd,kqw,0,,149,CHRF3,42.35
GAL,ksd,kqw,0,,149,WER,65.05
GAL,ksd,kqw,0,,149,TER,81.01
GAL,ksd,kqw,0,,149,spBLEU,23.65
EPH,ksd,kqw,0,,154,BLEU,17.42/50.66/23.38/12.07/6.43/1.000/5825/5588
EPH,ksd,kqw,0,,154,CHRF3,41.67
EPH,ksd,kqw,0,,154,WER,66.66
EPH,ksd,kqw,0,,154,TER,83.98
EPH,ksd,kqw,0,,154,spBLEU,20.89
PHP,ksd,kqw,0,,103,BLEU,19.44/54.78/26.16/13.62/7.58/0.991/3804/3838
PHP,ksd,kqw,0,,103,CHRF3,42.85
PHP,ksd,kqw,0,,103,WER,61.60
PHP,ksd,kqw,0,,103,TER,77.87
PHP,ksd,kqw,0,,103,spBLEU,23.92
COL,ksd,kqw,0,,95,BLEU,19.21/56.77/27.43/14.14/8.01/0.937/3817/4064
COL,ksd,kqw,0,,95,CHRF3,41.82
COL,ksd,kqw,0,,95,WER,61.85
COL,ksd,kqw,0,,95,TER,77.14
COL,ksd,kqw,0,,95,spBLEU,22.67
1TH,ksd,kqw,0,,89,BLEU,20.12/55.84/27.77/14.89/8.49/0.956/3247/3393
1TH,ksd,kqw,0,,89,CHRF3,43.36
1TH,ksd,kqw,0,,89,WER,60.73
1TH,ksd,kqw,0,,89,TER,75.79
1TH,ksd,kqw,0,,89,spBLEU,24.90
2TH,ksd,kqw,0,,47,BLEU,21.50/55.27/28.02/15.77/10.22/0.962/1717/1784
2TH,ksd,kqw,0,,47,CHRF3,43.04
2TH,ksd,kqw,0,,47,WER,59.23
2TH,ksd,kqw,0,,47,TER,76.45
2TH,ksd,kqw,0,,47,spBLEU,25.65
1TI,ksd,kqw,0,,113,BLEU,19.91/56.44/28.16/14.77/7.62/0.968/4513/4658
1TI,ksd,kqw,0,,113,CHRF3,42.36
1TI,ksd,kqw,0,,113,WER,60.65
1TI,ksd,kqw,0,,113,TER,75.24
1TI,ksd,kqw,0,,113,spBLEU,23.72
2TI,ksd,kqw,0,,83,BLEU,23.45/58.30/31.50/17.66/10.15/0.979/3127/3193
2TI,ksd,kqw,0,,83,CHRF3,44.59
2TI,ksd,kqw,0,,83,WER,57.68
2TI,ksd,kqw,0,,83,TER,71.88
2TI,ksd,kqw,0,,83,spBLEU,27.75
TIT,ksd,kqw,0,,46,BLEU,19.80/55.51/27.12/14.48/7.45/0.986/1978/2005
TIT,ksd,kqw,0,,46,CHRF3,42.29
TIT,ksd,kqw,0,,46,WER,59.86
TIT,ksd,kqw,0,,46,TER,75.94
TIT,ksd,kqw,0,,46,spBLEU,23.71
PHM,ksd,kqw,0,,25,BLEU,13.63/52.57/21.78/10.92/5.44/0.844/700/819
PHM,ksd,kqw,0,,25,CHRF3,34.50
PHM,ksd,kqw,0,,25,WER,60.00
PHM,ksd,kqw,0,,25,TER,79.21
PHM,ksd,kqw,0,,25,spBLEU,17.38
HEB,ksd,kqw,0,,302,BLEU,18.38/56.63/26.57/13.79/7.64/0.921/12595/13628
HEB,ksd,kqw,0,,302,CHRF3,41.01
HEB,ksd,kqw,0,,302,WER,62.67
HEB,ksd,kqw,0,,302,TER,76.50
HEB,ksd,kqw,0,,302,spBLEU,22.32
JAS,ksd,kqw,0,,108,BLEU,22.46/56.69/29.08/16.45/9.65/0.993/4221/4250
JAS,ksd,kqw,0,,108,CHRF3,45.26
JAS,ksd,kqw,0,,108,WER,58.69
JAS,ksd,kqw,0,,108,TER,75.73
JAS,ksd,kqw,0,,108,spBLEU,27.22
1PE,ksd,kqw,0,,105,BLEU,20.51/56.07/26.77/14.34/8.21/1.000/4673/4663
1PE,ksd,kqw,0,,105,CHRF3,42.91
1PE,ksd,kqw,0,,105,WER,62.68
1PE,ksd,kqw,0,,105,TER,77.62
1PE,ksd,kqw,0,,105,spBLEU,23.76
2PE,ksd,kqw,0,,61,BLEU,20.53/58.97/28.77/15.09/8.47/0.951/2793/2932
2PE,ksd,kqw,0,,61,CHRF3,44.15
2PE,ksd,kqw,0,,61,WER,59.72
2PE,ksd,kqw,0,,61,TER,74.12
2PE,ksd,kqw,0,,61,spBLEU,25.61
1JN,ksd,kqw,0,,105,BLEU,28.38/59.33/34.79/22.39/14.04/1.000/4077/3834
1JN,ksd,kqw,0,,105,CHRF3,51.43
1JN,ksd,kqw,0,,105,WER,57.35
1JN,ksd,kqw,0,,105,TER,70.85
1JN,ksd,kqw,0,,105,spBLEU,34.66
2JN,ksd,kqw,0,,13,BLEU,18.36/54.89/26.71/13.19/5.88/1.000/481/456
2JN,ksd,kqw,0,,13,CHRF3,47.32
2JN,ksd,kqw,0,,13,WER,59.15
2JN,ksd,kqw,0,,13,TER,75.00
2JN,ksd,kqw,0,,13,spBLEU,26.15
3JN,ksd,kqw,0,,15,BLEU,18.31/54.80/25.45/12.89/6.25/1.000/573/541
3JN,ksd,kqw,0,,15,CHRF3,45.14
3JN,ksd,kqw,0,,15,WER,63.79
3JN,ksd,kqw,0,,15,TER,82.28
3JN,ksd,kqw,0,,15,spBLEU,24.78
JUD,ksd,kqw,0,,25,BLEU,17.97/60.53/27.15/13.52/7.31/0.895/1211/1345
JUD,ksd,kqw,0,,25,CHRF3,41.49
JUD,ksd,kqw,0,,25,WER,58.93
JUD,ksd,kqw,0,,25,TER,72.51
JUD,ksd,kqw,0,,25,spBLEU,22.64
REV,ksd,kqw,0,,403,BLEU,26.20/60.42/33.45/19.53/11.94/1.000/20443/19787
REV,ksd,kqw,0,,403,CHRF3,49.62
REV,ksd,kqw,0,,403,WER,55.21
REV,ksd,kqw,0,,403,TER,68.68
REV,ksd,kqw,0,,403,spBLEU,30.61
