book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,ksd,kqw,0,,7235,BLEU,24.06/55.98/29.74/17.58/11.45/1.000/293692/282131
ALL,ksd,kqw,0,,7235,CHRF3,45.28
ALL,ksd,kqw,0,,7235,WER,58.30
ALL,ksd,kqw,0,,7235,TER,74.38
ALL,ksd,kqw,0,,7235,spBLEU,26.83
MAT,ksd,kqw,0,,1065,BLEU,36.22/64.03/41.69/29.30/22.01/1.000/39713/38710
MAT,ksd,kqw,0,,1065,CHRF3,54.18
MAT,ksd,kqw,0,,1065,WER,48.74
MAT,ksd,kqw,0,,1065,TER,61.57
MAT,ksd,kqw,0,,1065,spBLEU,39.02
LUK,ksd,kqw,0,,1143,BLEU,40.49/67.09/46.04/33.70/25.82/1.000/41585/40093
LUK,ksd,kqw,0,,1143,CHRF3,58.05
LUK,ksd,kqw,0,,1143,WER,42.77
LUK,ksd,kqw,0,,1143,TER,55.61
LUK,ksd,kqw,0,,1143,spBLEU,42.98
JHN,ksd,kqw,0,,874,BLEU,27.54/60.07/34.41/20.93/13.29/1.000/32109/30738
JHN,ksd,kqw,0,,874,CHRF3,48.60
JHN,ksd,kqw,0,,874,WER,54.02
JHN,ksd,kqw,0,,874,TER,69.22
JHN,ksd,kqw,0,,874,spBLEU,30.94
ACT,ksd,kqw,0,,994,BLEU,22.54/56.62/29.42/16.16/9.59/1.000/41187/39570
ACT,ksd,kqw,0,,994,CHRF3,44.92
ACT,ksd,kqw,0,,994,WER,59.11
ACT,ksd,kqw,0,,994,TER,74.34
ACT,ksd,kqw,0,,994,spBLEU,25.48
ROM,ksd,kqw,0,,430,BLEU,12.69/47.83/18.86/8.02/3.59/1.000/18913/18381
ROM,ksd,kqw,0,,430,CHRF3,36.52
ROM,ksd,kqw,0,,430,WER,69.54
ROM,ksd,kqw,0,,430,TER,86.66
ROM,ksd,kqw,0,,430,spBLEU,15.59
1CO,ksd,kqw,0,,435,BLEU,13.80/47.46/20.00/9.01/4.24/1.000/18802/17218
1CO,ksd,kqw,0,,435,CHRF3,38.50
1CO,ksd,kqw,0,,435,WER,70.16
1CO,ksd,kqw,0,,435,TER,87.84
1CO,ksd,kqw,0,,435,spBLEU,17.01
2CO,ksd,kqw,0,,253,BLEU,9.92/44.08/15.64/5.91/2.37/1.000/11842/10740
2CO,ksd,kqw,0,,253,CHRF3,35.61
2CO,ksd,kqw,0,,253,WER,73.72
2CO,ksd,kqw,0,,253,TER,92.97
2CO,ksd,kqw,0,,253,spBLEU,12.32
GAL,ksd,kqw,0,,149,BLEU,13.31/47.32/19.15/8.59/4.03/1.000/6128/5903
GAL,ksd,kqw,0,,149,CHRF3,36.97
GAL,ksd,kqw,0,,149,WER,69.85
GAL,ksd,kqw,0,,149,TER,87.06
GAL,ksd,kqw,0,,149,spBLEU,16.09
EPH,ksd,kqw,0,,154,BLEU,13.04/47.24/19.13/8.20/3.91/1.000/5711/5588
EPH,ksd,kqw,0,,154,CHRF3,37.06
EPH,ksd,kqw,0,,154,WER,68.83
EPH,ksd,kqw,0,,154,TER,86.73
EPH,ksd,kqw,0,,154,spBLEU,15.63
PHP,ksd,kqw,0,,103,BLEU,12.25/48.50/19.00/7.66/3.19/1.000/4004/3838
PHP,ksd,kqw,0,,103,CHRF3,38.04
PHP,ksd,kqw,0,,103,WER,67.84
PHP,ksd,kqw,0,,103,TER,85.98
PHP,ksd,kqw,0,,103,spBLEU,16.14
COL,ksd,kqw,0,,95,BLEU,14.21/52.23/21.98/9.85/4.67/0.937/3816/4064
COL,ksd,kqw,0,,95,CHRF3,37.34
COL,ksd,kqw,0,,95,WER,64.80
COL,ksd,kqw,0,,95,TER,80.06
COL,ksd,kqw,0,,95,spBLEU,16.90
1TH,ksd,kqw,0,,89,BLEU,13.57/48.41/19.77/8.89/3.99/1.000/3452/3393
1TH,ksd,kqw,0,,89,CHRF3,37.69
1TH,ksd,kqw,0,,89,WER,69.19
1TH,ksd,kqw,0,,89,TER,84.34
1TH,ksd,kqw,0,,89,spBLEU,16.89
2TH,ksd,kqw,0,,47,BLEU,16.26/50.95/22.01/10.72/5.81/1.000/1792/1784
2TH,ksd,kqw,0,,47,CHRF3,39.00
