book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,ksd,kqw,0,,3159,BLEU,20.68/55.93/27.38/14.81/8.48/0.987/131367/133020
ALL,ksd,kqw,0,,3159,CHRF3,42.80
ALL,ksd,kqw,0,,3159,WER,61.03
ALL,ksd,kqw,0,,3159,TER,76.38
ALL,ksd,kqw,0,,3159,spBLEU,24.52
ROM,ksd,kqw,0,,430,BLEU,18.06/53.76/24.66/12.52/6.74/0.987/18151/18381
ROM,ksd,kqw,0,,430,CHRF3,40.78
ROM,ksd,kqw,0,,430,WER,63.40
ROM,ksd,kqw,0,,430,TER,80.10
ROM,ksd,kqw,0,,430,spBLEU,21.70
1CO,ksd,kqw,0,,435,BLEU,20.40/54.20/26.54/14.57/8.26/1.000/17344/17218
1CO,ksd,kqw,0,,435,CHRF3,42.27
1CO,ksd,kqw,0,,435,WER,62.40
1CO,ksd,kqw,0,,435,TER,77.72
1CO,ksd,kqw,0,,435,spBLEU,24.18
2CO,ksd,kqw,0,,253,BLEU,15.22/50.18/21.06/9.92/5.12/1.000/11145/10740
2CO,ksd,kqw,0,,253,CHRF3,39.18
2CO,ksd,kqw,0,,253,WER,67.43
2CO,ksd,kqw,0,,253,TER,85.34
2CO,ksd,kqw,0,,253,spBLEU,18.65
GAL,ksd,kqw,0,,149,BLEU,18.91/54.01/25.40/13.32/7.71/0.976/5764/5903
GAL,ksd,kqw,0,,149,CHRF3,41.03
GAL,ksd,kqw,0,,149,WER,62.83
GAL,ksd,kqw,0,,149,TER,78.52
GAL,ksd,kqw,0,,149,spBLEU,22.49
EPH,ksd,kqw,0,,154,BLEU,17.40/51.20/23.19/11.79/6.54/1.000/5752/5588
EPH,ksd,kqw,0,,154,CHRF3,40.61
EPH,ksd,kqw,0,,154,WER,67.09
EPH,ksd,kqw,0,,154,TER,84.61
EPH,ksd,kqw,0,,154,spBLEU,21.05
PHP,ksd,kqw,0,,103,BLEU,18.73/55.45/26.17/13.25/6.95/0.979/3760/3838
PHP,ksd,kqw,0,,103,CHRF3,41.82
PHP,ksd,kqw,0,,103,WER,60.27
