book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,tam,mal,0,,1002,BLEU,15.92/47.30/20.99/10.78/6.25/0.990/18361/18550
ALL,tam,mal,0,,1002,CHRF3,54.32
ALL,tam,mal,0,,1002,WER,50.75
ALL,tam,mal,0,,1002,TER,75.38
ALL,tam,mal,0,,1002,spBLEU,33.75
HOS,tam,mal,0,,197,BLEU,17.15/49.70/22.30/11.79/7.00/0.986/3507/3555
HOS,tam,mal,0,,197,CHRF3,54.69
HOS,tam,mal,0,,197,WER,48.45
HOS,tam,mal,0,,197,TER,71.27
HOS,tam,mal,0,,197,spBLEU,34.49
JOL,tam,mal,0,,73,BLEU,17.32/48.93/23.04/12.31/7.06/0.979/1210/1236
JOL,tam,mal,0,,73,CHRF3,57.23
JOL,tam,mal,0,,73,WER,48.05
JOL,tam,mal,0,,73,TER,70.44
JOL,tam,mal,0,,73,spBLEU,38.95
AMO,tam,mal,0,,146,BLEU,17.94/47.50/22.88/12.59/7.70/0.996/2659/2670
AMO,tam,mal,0,,146,CHRF3,55.17
AMO,tam,mal,0,,146,WER,52.68
AMO,tam,mal,0,,146,TER,75.31
AMO,tam,mal,0,,146,spBLEU,35.22
OBA,tam,mal,0,,21,BLEU,14.50/45.83/20.66/9.36/4.98/1.000/384/375
OBA,tam,mal,0,,21,CHRF3,56.26
OBA,tam,mal,0,,21,WER,47.22
OBA,tam,mal,0,,21,TER,76.70
OBA,tam,mal,0,,21,spBLEU,35.61
MIC,tam,mal,0,,105,BLEU,14.85/46.68/20.86/10.13/5.81/0.960/1898/1976
MIC,tam,mal,0,,105,CHRF3,53.08
MIC,tam,mal,0,,105,WER,51.17
MIC,tam,mal,0,,105,TER,75.19
MIC,tam,mal,0,,105,spBLEU,32.15
NAM,tam,mal,0,,47,BLEU,10.40/41.81/15.68/6.46/3.16/0.967/806/833
NAM,tam,mal,0,,47,CHRF3,46.69
NAM,tam,mal,0,,47,WER,58.39
NAM,tam,mal,0,,47,TER,80.66
NAM,tam,mal,0,,47,spBLEU,26.04
HAB,tam,mal,0,,56,BLEU,10.51/38.75/13.50/6.84/3.41/1.000/960/954
HAB,tam,mal,0,,56,CHRF3,46.13
HAB,tam,mal,0,,56,WER,58.48
HAB,tam,mal,0,,56,TER,84.34
HAB,tam,mal,0,,56,spBLEU,23.37
ZEP,tam,mal,0,,53,BLEU,13.27/45.44/19.63/8.86/3.92/1.000/975/961
ZEP,tam,mal,0,,53,CHRF3,54.17
ZEP,tam,mal,0,,53,WER,52.65
ZEP,tam,mal,0,,53,TER,78.67
ZEP,tam,mal,0,,53,spBLEU,32.92
HAG,tam,mal,0,,38,BLEU,21.92/53.07/27.63/16.29/10.66/0.976/733/751
HAG,tam,mal,0,,38,CHRF3,60.53
HAG,tam,mal,0,,38,WER,47.46
HAG,tam,mal,0,,38,TER,71.50
HAG,tam,mal,0,,38,spBLEU,42.13
ZEC,tam,mal,0,,211,BLEU,16.98/48.10/21.88/11.46/6.89/1.000/4000/3981
ZEC,tam,mal,0,,211,CHRF3,55.75
ZEC,tam,mal,0,,211,WER,47.99
ZEC,tam,mal,0,,211,TER,75.66
ZEC,tam,mal,0,,211,spBLEU,35.26
MAL,tam,mal,0,,55,BLEU,10.01/45.57/15.08/5.90/2.73/0.977/1229/1258
MAL,tam,mal,0,,55,CHRF3,53.62
MAL,tam,mal,0,,55,WER,54.66
MAL,tam,mal,0,,55,TER,80.61
MAL,tam,mal,0,,55,spBLEU,27.54
