book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,tam,mal,0,,250,BLEU,24.88/54.62/30.43/18.83/12.25/1.000/4000/3984
ALL,tam,mal,0,,250,CHRF3,62.67
ALL,tam,mal,0,,250,WER,43.93
ALL,tam,mal,0,,250,TER,65.55
ALL,tam,mal,0,,250,spBLEU,44.24
PSA,tam,mal,0,,19,BLEU,32.79/65.27/41.36/27.36/17.58/0.971/239/246
PSA,tam,mal,0,,19,CHRF3,66.18
PSA,tam,mal,0,,19,WER,36.41
PSA,tam,mal,0,,19,TER,54.46
PSA,tam,mal,0,,19,spBLEU,47.34
ROM,tam,mal,0,,5,BLEU,15.70/42.19/20.34/12.96/10.20/0.855/64/74
ROM,tam,mal,0,,5,CHRF3,48.47
ROM,tam,mal,0,,5,WER,46.15
ROM,tam,mal,0,,5,TER,74.19
ROM,tam,mal,0,,5,spBLEU,30.84
EST,tam,mal,0,,3,BLEU,41.36/79.69/44.26/34.48/27.27/0.969/64/66
EST,tam,mal,0,,3,CHRF3,74.81
EST,tam,mal,0,,3,WER,34.34
EST,tam,mal,0,,3,TER,39.29
EST,tam,mal,0,,3,spBLEU,61.54
ISA,tam,mal,0,,7,BLEU,11.37/44.63/16.67/7.48/3.00/1.000/121/110
ISA,tam,mal,0,,7,CHRF3,61.16
ISA,tam,mal,0,,7,WER,41.23
ISA,tam,mal,0,,7,TER,72.92
ISA,tam,mal,0,,7,spBLEU,31.60
1CH,tam,mal,0,,4,BLEU,46.59/69.05/52.63/47.06/36.67/0.931/42/45
1CH,tam,mal,0,,4,CHRF3,68.44
1CH,tam,mal,0,,4,WER,42.20
1CH,tam,mal,0,,4,TER,60.00
1CH,tam,mal,0,,4,spBLEU,58.15
ACT,tam,mal,0,,10,BLEU,24.12/46.77/28.41/18.07/14.10/1.000/186/176
ACT,tam,mal,0,,10,CHRF3,54.07
ACT,tam,mal,0,,10,WER,52.56
ACT,tam,mal,0,,10,TER,72.67
ACT,tam,mal,0,,10,spBLEU,38.19
DEU,tam,mal,0,,11,BLEU,34.12/61.41/41.04/29.01/18.54/1.000/184/178
DEU,tam,mal,0,,11,CHRF3,69.53
DEU,tam,mal,0,,11,WER,38.10
DEU,tam,mal,0,,11,TER,52.70
DEU,tam,mal,0,,11,spBLEU,53.31
JOS,tam,mal,0,,2,BLEU,10.50/34.62/16.67/9.09/5.00/0.825/26/31
