book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,tam,mal,0,,250,BLEU,14.46/42.17/18.76/10.37/6.70/0.944/3645/3854
ALL,tam,mal,0,,250,CHRF3,47.23
ALL,tam,mal,0,,250,WER,56.80
ALL,tam,mal,0,,250,TER,79.15
ALL,tam,mal,0,,250,spBLEU,28.82
EXO,tam,mal,0,,11,BLEU,17.31/43.58/22.02/12.74/8.22/0.972/179/184
EXO,tam,mal,0,,11,CHRF3,51.63
EXO,tam,mal,0,,11,WER,52.13
EXO,tam,mal,0,,11,TER,78.48
EXO,tam,mal,0,,11,spBLEU,37.67
JOB,tam,mal,0,,6,BLEU,2.74/27.54/4.76/0.88/0.49/1.000/69/57
JOB,tam,mal,0,,6,CHRF3,33.00
JOB,tam,mal,0,,6,WER,76.21
JOB,tam,mal,0,,6,TER,108.70
JOB,tam,mal,0,,6,spBLEU,10.95
ACT,tam,mal,0,,8,BLEU,8.93/33.33/13.71/5.17/2.78/0.992/132/133
ACT,tam,mal,0,,8,CHRF3,41.75
ACT,tam,mal,0,,8,WER,60.06
ACT,tam,mal,0,,8,TER,85.59
ACT,tam,mal,0,,8,spBLEU,20.95
ISA,tam,mal,0,,11,BLEU,8.36/34.59/10.92/4.91/2.63/1.000/185/177
ISA,tam,mal,0,,11,CHRF3,45.04
ISA,tam,mal,0,,11,WER,66.15
ISA,tam,mal,0,,11,TER,86.18
ISA,tam,mal,0,,11,spBLEU,25.20
GEN,tam,mal,0,,11,BLEU,13.41/39.68/15.73/8.98/5.77/1.000/189/179
GEN,tam,mal,0,,11,CHRF3,48.34
GEN,tam,mal,0,,11,WER,62.54
GEN,tam,mal,0,,11,TER,81.29
GEN,tam,mal,0,,11,spBLEU,28.43
PSA,tam,mal,0,,22,BLEU,23.05/49.62/27.08/19.72/16.33/0.899/262/290
PSA,tam,mal,0,,22,CHRF3,49.82
PSA,tam,mal,0,,22,WER,52.19
PSA,tam,mal,0,,22,TER,71.55
PSA,tam,mal,0,,22,spBLEU,30.61
EST,tam,mal,0,,1,BLEU,11.38/66.67/29.41/6.25/3.33/0.801/18/22
EST,tam,mal,0,,1,CHRF3,55.56
EST,tam,mal,0,,1,WER,54.12
EST,tam,mal,0,,1,TER,63.16
EST,tam,mal,0,,1,spBLEU,45.39
JER,tam,mal,0,,12,BLEU,18.23/47.80/24.35/15.47/8.88/0.911/205/224
JER,tam,mal,0,,12,CHRF3,52.67
JER,tam,mal,0,,12,WER,51.60
JER,tam,mal,0,,12,TER,74.21
JER,tam,mal,0,,12,spBLEU,33.48
EZK,tam,mal,0,,13,BLEU,11.08/36.68/17.13/7.88/3.68/0.953/229/240
EZK,tam,mal,0,,13,CHRF3,44.65
EZK,tam,mal,0,,13,WER,61.83
EZK,tam,mal,0,,13,TER,82.67
EZK,tam,mal,0,,13,spBLEU,25.18
ZEC,tam,mal,0,,3,BLEU,21.32/45.65/27.91/15.00/10.81/1.000/46/38
ZEC,tam,mal,0,,3,CHRF3,53.22
ZEC,tam,mal,0,,3,WER,40.00
ZEC,tam,mal,0,,3,TER,77.42
ZEC,tam,mal,0,,3,spBLEU,33.26
GAL,tam,mal,0,,2,BLEU,1.81/21.88/1.67/0.89/0.48/0.911/32/35
GAL,tam,mal,0,,2,CHRF3,25.85
GAL,tam,mal,0,,2,WER,88.14
GAL,tam,mal,0,,2,TER,100.00
GAL,tam,mal,0,,2,spBLEU,4.37
JDG,tam,mal,0,,7,BLEU,10.09/45.19/20.62/8.89/2.41/0.849/104/121
JDG,tam,mal,0,,7,CHRF3,44.19
JDG,tam,mal,0,,7,WER,55.50
JDG,tam,mal,0,,7,TER,73.33
JDG,tam,mal,0,,7,spBLEU,23.34
1CH,tam,mal,0,,9,BLEU,16.68/42.16/18.28/11.90/10.67/0.943/102/108
1CH,tam,mal,0,,9,CHRF3,48.46
1CH,tam,mal,0,,9,WER,46.80
1CH,tam,mal,0,,9,TER,75.56
1CH,tam,mal,0,,9,spBLEU,32.43
JHN,tam,mal,0,,6,BLEU,15.28/53.57/24.36/11.11/4.55/0.953/84/88
JHN,tam,mal,0,,6,CHRF3,52.79
JHN,tam,mal,0,,6,WER,63.55
JHN,tam,mal,0,,6,TER,76.39
JHN,tam,mal,0,,6,spBLEU,25.26
1KI,tam,mal,0,,6,BLEU,24.89/55.34/32.99/20.88/11.76/0.962/103/107
