book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,tam,mal,0,,250,BLEU,22.16/52.92/27.69/16.56/10.01/0.998/3966/3974
ALL,tam,mal,0,,250,CHRF3,58.47
ALL,tam,mal,0,,250,WER,47.25
ALL,tam,mal,0,,250,TER,69.24
ALL,tam,mal,0,,250,spBLEU,40.80
PSA,tam,mal,0,,15,BLEU,31.90/63.21/37.08/25.15/17.57/1.000/193/186
PSA,tam,mal,0,,15,CHRF3,66.72
PSA,tam,mal,0,,15,WER,32.75
PSA,tam,mal,0,,15,TER,53.64
PSA,tam,mal,0,,15,spBLEU,43.41
LUK,tam,mal,0,,8,BLEU,17.05/50.86/23.15/11.00/6.52/1.000/116/113
LUK,tam,mal,0,,8,CHRF3,60.19
LUK,tam,mal,0,,8,WER,44.88
LUK,tam,mal,0,,8,TER,67.37
LUK,tam,mal,0,,8,spBLEU,42.44
1CH,tam,mal,0,,4,BLEU,35.78/71.43/45.21/33.33/23.08/0.901/77/85
1CH,tam,mal,0,,4,CHRF3,67.40
1CH,tam,mal,0,,4,WER,18.00
1CH,tam,mal,0,,4,TER,52.46
1CH,tam,mal,0,,4,spBLEU,60.98
EZR,tam,mal,0,,5,BLEU,13.08/56.41/27.40/13.24/1.59/0.975/78/80
EZR,tam,mal,0,,5,CHRF3,58.08
EZR,tam,mal,0,,5,WER,45.27
EZR,tam,mal,0,,5,TER,74.19
EZR,tam,mal,0,,5,spBLEU,39.09
ZEC,tam,mal,0,,2,BLEU,4.05/33.33/6.45/1.72/0.93/0.941/33/35
ZEC,tam,mal,0,,2,CHRF3,48.55
ZEC,tam,mal,0,,2,WER,46.08
ZEC,tam,mal,0,,2,TER,83.33
ZEC,tam,mal,0,,2,spBLEU,22.89
ACT,tam,mal,0,,12,BLEU,22.80/54.42/28.57/17.28/10.06/1.000/215/213
ACT,tam,mal,0,,12,CHRF3,61.49
ACT,tam,mal,0,,12,WER,44.59
ACT,tam,mal,0,,12,TER,67.43
ACT,tam,mal,0,,12,spBLEU,42.26
JER,tam,mal,0,,10,BLEU,28.40/54.12/33.75/22.67/15.71/1.000/170/154
JER,tam,mal,0,,10,CHRF3,64.31
JER,tam,mal,0,,10,WER,38.28
JER,tam,mal,0,,10,TER,68.85
JER,tam,mal,0,,10,spBLEU,47.23
2CH,tam,mal,0,,8,BLEU,27.10/57.33/34.51/22.39/14.29/0.961/150/156
2CH,tam,mal,0,,8,CHRF3,64.61
2CH,tam,mal,0,,8,WER,41.60
2CH,tam,mal,0,,8,TER,64.00
2CH,tam,mal,0,,8,spBLEU,47.52
PRO,tam,mal,0,,7,BLEU,16.46/53.25/25.71/11.11/5.36/0.974/77/79
PRO,tam,mal,0,,7,CHRF3,52.52
PRO,tam,mal,0,,7,WER,49.39
PRO,tam,mal,0,,7,TER,67.19
PRO,tam,mal,0,,7,spBLEU,30.37
2KI,tam,mal,0,,7,BLEU,14.85/60.94/29.75/11.40/4.67/0.842/128/150
2KI,tam,mal,0,,7,CHRF3,53.92
2KI,tam,mal,0,,7,WER,46.89
2KI,tam,mal,0,,7,TER,62.20
2KI,tam,mal,0,,7,spBLEU,38.10
PHP,tam,mal,0,,3,BLEU,2.01/32.35/1.61/0.89/0.50/0.916/34/37
PHP,tam,mal,0,,3,CHRF3,37.73
PHP,tam,mal,0,,3,WER,74.40
PHP,tam,mal,0,,3,TER,96.67
PHP,tam,mal,0,,3,spBLEU,3.64
LEV,tam,mal,0,,7,BLEU,23.82/54.90/32.63/20.45/9.88/0.971/102/105
LEV,tam,mal,0,,7,CHRF3,67.95
LEV,tam,mal,0,,7,WER,27.75
LEV,tam,mal,0,,7,TER,60.67
LEV,tam,mal,0,,7,spBLEU,46.75
REV,tam,mal,0,,2,BLEU,13.72/65.22/33.33/15.79/5.88/0.647/23/33
REV,tam,mal,0,,2,CHRF3,53.67
REV,tam,mal,0,,2,WER,45.96
REV,tam,mal,0,,2,TER,62.07
REV,tam,mal,0,,2,spBLEU,37.30
GEN,tam,mal,0,,12,BLEU,27.75/56.83/32.09/22.17/14.66/1.000/227/217
GEN,tam,mal,0,,12,CHRF3,60.20
GEN,tam,mal,0,,12,WER,42.56
GEN,tam,mal,0,,12,TER,62.92
GEN,tam,mal,0,,12,spBLEU,44.98
DAN,tam,mal,0,,4,BLEU,15.05/42.86/19.18/10.14/6.15/1.000/77/71
DAN,tam,mal,0,,4,CHRF3,49.46
DAN,tam,mal,0,,4,WER,50.18
DAN,tam,mal,0,,4,TER,79.31
DAN,tam,mal,0,,4,spBLEU,30.16
HEB,tam,mal,0,,3,BLEU,11.60/39.39/16.67/11.11/8.33/0.739/33/43
HEB,tam,mal,0,,3,CHRF3,40.28
HEB,tam,mal,0,,3,WER,82.82
HEB,tam,mal,0,,3,TER,102.86
HEB,tam,mal,0,,3,spBLEU,27.48
TIT,tam,mal,0,,1,BLEU,5.43/23.08/8.33/4.55/2.50/0.794/13/16
TIT,tam,mal,0,,1,CHRF3,28.04
