book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,tam,mal,0,,3170,BLEU,9.17/37.34/13.03/5.58/2.61/1.000/46124/45864
ALL,tam,mal,0,,3170,CHRF3,49.85
ALL,tam,mal,0,,3170,WER,59.51
ALL,tam,mal,0,,3170,TER,85.47
ALL,tam,mal,0,,3170,spBLEU,23.74
ROM,tam,mal,0,,432,BLEU,10.02/38.18/13.56/6.19/3.15/1.000/6000/5934
ROM,tam,mal,0,,432,CHRF3,50.14
ROM,tam,mal,0,,432,WER,60.47
ROM,tam,mal,0,,432,TER,85.75
ROM,tam,mal,0,,432,spBLEU,23.88
1CO,tam,mal,0,,437,BLEU,8.73/39.32/13.56/5.27/2.07/0.999/6035/6043
1CO,tam,mal,0,,437,CHRF3,52.12
1CO,tam,mal,0,,437,WER,55.31
1CO,tam,mal,0,,437,TER,83.61
1CO,tam,mal,0,,437,spBLEU,24.47
2CO,tam,mal,0,,256,BLEU,6.91/34.67/10.21/3.76/1.72/1.000/4026/3936
2CO,tam,mal,0,,256,CHRF3,47.80
2CO,tam,mal,0,,256,WER,64.08
2CO,tam,mal,0,,256,TER,93.38
2CO,tam,mal,0,,256,spBLEU,20.62
GAL,tam,mal,0,,149,BLEU,9.14/38.79/13.52/5.59/2.39/1.000/1998/1983
GAL,tam,mal,0,,149,CHRF3,51.21
GAL,tam,mal,0,,149,WER,57.22
GAL,tam,mal,0,,149,TER,83.97
GAL,tam,mal,0,,149,spBLEU,25.67
EPH,tam,mal,0,,155,BLEU,5.24/28.46/8.48/3.38/0.92/1.000/1876/1775
EPH,tam,mal,0,,155,CHRF3,44.75
EPH,tam,mal,0,,155,WER,70.81
EPH,tam,mal,0,,155,TER,97.74
EPH,tam,mal,0,,155,spBLEU,18.13
PHP,tam,mal,0,,104,BLEU,6.76/34.80/10.28/4.15/1.58/0.972/1388/1428
PHP,tam,mal,0,,104,CHRF3,45.81
PHP,tam,mal,0,,104,WER,63.02
PHP,tam,mal,0,,104,TER,87.49
PHP,tam,mal,0,,104,spBLEU,20.44
COL,tam,mal,0,,95,BLEU,8.68/30.02/10.81/5.60/3.12/1.000/1279/1240
COL,tam,mal,0,,95,CHRF3,45.13
COL,tam,mal,0,,95,WER,68.67
COL,tam,mal,0,,95,TER,94.64
COL,tam,mal,0,,95,spBLEU,19.82
1TH,tam,mal,0,,89,BLEU,9.76/40.81/15.35/6.19/2.56/0.978/1164/1190
1TH,tam,mal,0,,89,CHRF3,51.34
1TH,tam,mal,0,,89,WER,59.50
1TH,tam,mal,0,,89,TER,79.07
1TH,tam,mal,0,,89,spBLEU,24.46
2TH,tam,mal,0,,47,BLEU,10.22/38.15/13.90/6.81/3.02/1.000/637/621
2TH,tam,mal,0,,47,CHRF3,52.88
2TH,tam,mal,0,,47,WER,59.98
2TH,tam,mal,0,,47,TER,82.19
2TH,tam,mal,0,,47,spBLEU,25.64
1TI,tam,mal,0,,113,BLEU,7.76/32.07/10.04/4.50/2.53/0.997/1447/1451
1TI,tam,mal,0,,113,CHRF3,46.76
1TI,tam,mal,0,,113,WER,63.61
1TI,tam,mal,0,,113,TER,90.81
1TI,tam,mal,0,,113,spBLEU,20.70
2TI,tam,mal,0,,83,BLEU,7.31/34.90/11.47/4.06/1.76/1.000/1103/1056
2TI,tam,mal,0,,83,CHRF3,49.37
2TI,tam,mal,0,,83,WER,60.93
2TI,tam,mal,0,,83,TER,87.45
2TI,tam,mal,0,,83,spBLEU,24.03
TIT,tam,mal,0,,46,BLEU,5.16/28.18/8.40/2.65/1.13/1.000/582/557
TIT,tam,mal,0,,46,CHRF3,42.59
TIT,tam,mal,0,,46,WER,67.13
TIT,tam,mal,0,,46,TER,90.82
TIT,tam,mal,0,,46,spBLEU,18.42
PHM,tam,mal,0,,25,BLEU,6.96/35.99/11.42/4.55/1.26/1.000/314/307
PHM,tam,mal,0,,25,CHRF3,50.24
PHM,tam,mal,0,,25,WER,59.99
PHM,tam,mal,0,,25,TER,86.25
PHM,tam,mal,0,,25,spBLEU,24.71
HEB,tam,mal,0,,303,BLEU,6.54/34.16/9.94/3.68/1.78/0.951/4327/4545
HEB,tam,mal,0,,303,CHRF3,45.80
HEB,tam,mal,0,,303,WER,61.34
HEB,tam,mal,0,,303,TER,88.20
HEB,tam,mal,0,,303,spBLEU,20.66
JAS,tam,mal,0,,108,BLEU,7.58/38.88/12.15/4.25/1.70/0.991/1556/1570
JAS,tam,mal,0,,108,CHRF3,50.90
JAS,tam,mal,0,,108,WER,51.56
JAS,tam,mal,0,,108,TER,80.41
JAS,tam,mal,0,,108,spBLEU,23.42
1PE,tam,mal,0,,105,BLEU,5.86/33.00/8.86/3.38/1.29/0.981/1482/1510
1PE,tam,mal,0,,105,CHRF3,46.74
1PE,tam,mal,0,,105,WER,62.12
1PE,tam,mal,0,,105,TER,88.85
1PE,tam,mal,0,,105,spBLEU,19.49
2PE,tam,mal,0,,61,BLEU,3.93/29.45/7.33/2.15/0.51/1.000/961/908
2PE,tam,mal,0,,61,CHRF3,45.44
2PE,tam,mal,0,,61,WER,69.05
2PE,tam,mal,0,,61,TER,92.00
2PE,tam,mal,0,,61,spBLEU,17.13
1JN,tam,mal,0,,105,BLEU,14.77/45.04/19.85/9.64/5.53/1.000/1672/1640
1JN,tam,mal,0,,105,CHRF3,58.91
1JN,tam,mal,0,,105,WER,48.26
1JN,tam,mal,0,,105,TER,75.32
1JN,tam,mal,0,,105,spBLEU,30.35
2JN,tam,mal,0,,13,BLEU,9.53/45.30/14.29/6.45/2.11/0.984/181/184
2JN,tam,mal,0,,13,CHRF3,52.92
2JN,tam,mal,0,,13,WER,52.66
2JN,tam,mal,0,,13,TER,76.54
2JN,tam,mal,0,,13,spBLEU,26.30
3JN,tam,mal,0,,15,BLEU,22.22/52.45/28.57/17.24/9.43/1.000/204/204
3JN,tam,mal,0,,15,CHRF3,61.02
3JN,tam,mal,0,,15,WER,38.30
3JN,tam,mal,0,,15,TER,62.86
3JN,tam,mal,0,,15,spBLEU,33.62
