book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,hin,pan,0,,1002,BLEU,26.00/58.52/32.67/19.60/12.19/1.000/31127/30892
ALL,hin,pan,0,,1002,CHRF3,51.27
ALL,hin,pan,0,,1002,WER,48.29
ALL,hin,pan,0,,1002,TER,62.00
ALL,hin,pan,0,,1002,spBLEU,35.13
HOS,hin,pan,0,,197,BLEU,22.62/55.62/29.91/16.81/9.36/1.000/5867/5649
HOS,hin,pan,0,,197,CHRF3,49.33
HOS,hin,pan,0,,197,WER,51.44
HOS,hin,pan,0,,197,TER,66.27
HOS,hin,pan,0,,197,spBLEU,31.43
JOL,hin,pan,0,,73,BLEU,28.47/60.31/34.85/21.78/14.36/1.000/2162/2149
JOL,hin,pan,0,,73,CHRF3,54.12
JOL,hin,pan,0,,73,WER,43.43
JOL,hin,pan,0,,73,TER,58.37
JOL,hin,pan,0,,73,spBLEU,37.65
AMO,hin,pan,0,,146,BLEU,26.02/62.97/35.26/20.88/12.88/0.936/4397/4687
AMO,hin,pan,0,,146,CHRF3,52.40
AMO,hin,pan,0,,146,WER,42.72
AMO,hin,pan,0,,146,TER,56.93
AMO,hin,pan,0,,146,spBLEU,36.39
OBA,hin,pan,0,,21,BLEU,26.27/60.89/36.13/21.80/13.24/0.930/652/699
OBA,hin,pan,0,,21,CHRF3,51.95
OBA,hin,pan,0,,21,WER,49.48
OBA,hin,pan,0,,21,TER,61.47
OBA,hin,pan,0,,21,spBLEU,38.82
MIC,hin,pan,0,,105,BLEU,25.84/58.09/32.88/19.57/12.14/0.995/3362/3378
MIC,hin,pan,0,,105,CHRF3,51.38
MIC,hin,pan,0,,105,WER,48.92
MIC,hin,pan,0,,105,TER,62.75
MIC,hin,pan,0,,105,spBLEU,35.37
NAM,hin,pan,0,,47,BLEU,21.40/52.66/27.40/15.66/9.29/1.000/1390/1347
NAM,hin,pan,0,,47,CHRF3,46.34
NAM,hin,pan,0,,47,WER,51.79
NAM,hin,pan,0,,47,TER,68.37
NAM,hin,pan,0,,47,spBLEU,29.27
HAB,hin,pan,0,,56,BLEU,22.18/55.82/28.94/15.98/9.38/1.000/1777/1765
HAB,hin,pan,0,,56,CHRF3,46.99
HAB,hin,pan,0,,56,WER,51.50
HAB,hin,pan,0,,56,TER,65.66
HAB,hin,pan,0,,56,spBLEU,30.70
ZEP,hin,pan,0,,53,BLEU,29.17/60.35/37.19/23.23/15.59/0.971/1763/1814
ZEP,hin,pan,0,,53,CHRF3,52.26
ZEP,hin,pan,0,,53,WER,46.22
ZEP,hin,pan,0,,53,TER,59.01
ZEP,hin,pan,0,,53,spBLEU,36.86
HAG,hin,pan,0,,38,BLEU,34.32/64.90/40.18/28.08/18.96/1.000/1148/1116
HAG,hin,pan,0,,38,CHRF3,58.24
HAG,hin,pan,0,,38,WER,43.42
HAG,hin,pan,0,,38,TER,54.48
HAG,hin,pan,0,,38,spBLEU,46.50
ZEC,hin,pan,0,,211,BLEU,27.05/58.35/32.91/20.62/13.52/1.000/6552/6375
ZEC,hin,pan,0,,211,CHRF3,51.79
ZEC,hin,pan,0,,211,WER,49.13
ZEC,hin,pan,0,,211,TER,61.47
ZEC,hin,pan,0,,211,spBLEU,35.96
MAL,hin,pan,0,,55,BLEU,22.82/57.07/29.22/16.64/9.78/1.000/2057/1913
MAL,hin,pan,0,,55,CHRF3,51.18
MAL,hin,pan,0,,55,WER,52.42
MAL,hin,pan,0,,55,TER,65.94
MAL,hin,pan,0,,55,spBLEU,32.20
