book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,hin,pan,0,,250,BLEU,30.68/63.44/37.57/23.61/15.73/1.000/7170/7021
ALL,hin,pan,0,,250,CHRF3,56.17
ALL,hin,pan,0,,250,WER,43.18
ALL,hin,pan,0,,250,TER,55.69
ALL,hin,pan,0,,250,spBLEU,40.82
EXO,hin,pan,0,,15,BLEU,30.48/62.91/37.44/24.11/15.20/1.000/453/409
EXO,hin,pan,0,,15,CHRF3,59.28
EXO,hin,pan,0,,15,WER,45.99
EXO,hin,pan,0,,15,TER,54.57
EXO,hin,pan,0,,15,spBLEU,40.44
AMO,hin,pan,0,,1,BLEU,66.49/84.00/70.83/65.22/59.09/0.961/25/26
AMO,hin,pan,0,,1,CHRF3,82.65
AMO,hin,pan,0,,1,WER,12.10
AMO,hin,pan,0,,1,TER,26.09
AMO,hin,pan,0,,1,spBLEU,66.14
NUM,hin,pan,0,,12,BLEU,47.74/72.26/52.35/40.91/33.58/1.000/310/307
NUM,hin,pan,0,,12,CHRF3,65.98
NUM,hin,pan,0,,12,WER,35.30
NUM,hin,pan,0,,12,TER,41.78
NUM,hin,pan,0,,12,spBLEU,57.65
PHP,hin,pan,0,,2,BLEU,28.52/69.86/42.25/23.19/13.43/0.921/73/79
PHP,hin,pan,0,,2,CHRF3,52.21
PHP,hin,pan,0,,2,WER,50.12
PHP,hin,pan,0,,2,TER,55.84
PHP,hin,pan,0,,2,spBLEU,31.57
EZK,hin,pan,0,,15,BLEU,30.02/63.62/36.46/23.01/15.65/0.993/569/573
EZK,hin,pan,0,,15,CHRF3,53.97
EZK,hin,pan,0,,15,WER,46.52
EZK,hin,pan,0,,15,TER,55.99
EZK,hin,pan,0,,15,spBLEU,37.56
JOS,hin,pan,0,,4,BLEU,28.56/58.16/34.04/22.22/15.12/1.000/98/87
JOS,hin,pan,0,,4,CHRF3,58.05
JOS,hin,pan,0,,4,WER,43.61
JOS,hin,pan,0,,4,TER,64.71
JOS,hin,pan,0,,4,spBLEU,40.63
JOB,hin,pan,0,,9,BLEU,19.52/53.98/28.14/14.56/8.05/0.950/176/185
JOB,hin,pan,0,,9,CHRF3,43.31
JOB,hin,pan,0,,9,WER,48.46
JOB,hin,pan,0,,9,TER,67.68
JOB,hin,pan,0,,9,spBLEU,25.04
1KI,hin,pan,0,,6,BLEU,27.41/61.36/37.06/21.95/15.19/0.929/176/189
1KI,hin,pan,0,,6,CHRF3,48.68
1KI,hin,pan,0,,6,WER,52.07
1KI,hin,pan,0,,6,TER,59.02
1KI,hin,pan,0,,6,spBLEU,35.05
RUT,hin,pan,0,,1,BLEU,37.13/66.67/40.00/29.41/24.24/1.000/36/33
RUT,hin,pan,0,,1,CHRF3,69.45
RUT,hin,pan,0,,1,WER,40.43
RUT,hin,pan,0,,1,TER,53.57
RUT,hin,pan,0,,1,spBLEU,44.70
GEN,hin,pan,0,,10,BLEU,37.93/68.84/45.86/31.64/21.95/0.986/276/280
GEN,hin,pan,0,,10,CHRF3,59.86
GEN,hin,pan,0,,10,WER,37.05
GEN,hin,pan,0,,10,TER,49.44
GEN,hin,pan,0,,10,spBLEU,48.63
1SA,hin,pan,0,,6,BLEU,25.22/61.43/30.41/18.48/11.71/1.000/223/206
1SA,hin,pan,0,,6,CHRF3,52.48
1SA,hin,pan,0,,6,WER,50.09
1SA,hin,pan,0,,6,TER,63.96
1SA,hin,pan,0,,6,spBLEU,38.33
JER,hin,pan,0,,8,BLEU,27.15/60.98/33.14/20.61/13.04/1.000/346/313
JER,hin,pan,0,,8,CHRF3,58.35
JER,hin,pan,0,,8,WER,47.12
JER,hin,pan,0,,8,TER,58.86
JER,hin,pan,0,,8,spBLEU,35.37
NEH,hin,pan,0,,6,BLEU,27.14/58.82/33.62/20.80/13.18/1.000/238/237
NEH,hin,pan,0,,6,CHRF3,52.86
NEH,hin,pan,0,,6,WER,43.37
NEH,hin,pan,0,,6,TER,57.89
NEH,hin,pan,0,,6,spBLEU,36.55
ACT,hin,pan,0,,12,BLEU,33.18/62.80/39.15/26.39/18.68/1.000/293/279
ACT,hin,pan,0,,12,CHRF3,57.85
ACT,hin,pan,0,,12,WER,47.18
ACT,hin,pan,0,,12,TER,56.09
ACT,hin,pan,0,,12,spBLEU,45.92
