book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,hin,pan,0,,3172,BLEU,24.81/57.93/31.47/18.47/11.25/1.000/83849/81643
ALL,hin,pan,0,,3172,CHRF3,51.46
ALL,hin,pan,0,,3172,WER,45.76
ALL,hin,pan,0,,3172,TER,59.83
ALL,hin,pan,0,,3172,spBLEU,32.26
ROM,hin,pan,0,,433,BLEU,26.53/59.28/33.31/20.09/12.48/1.000/11239/10977
ROM,hin,pan,0,,433,CHRF3,52.93
ROM,hin,pan,0,,433,WER,43.42
ROM,hin,pan,0,,433,TER,58.36
ROM,hin,pan,0,,433,spBLEU,33.98
1CO,hin,pan,0,,437,BLEU,23.82/56.25/30.62/17.66/10.59/1.000/10800/10224
1CO,hin,pan,0,,437,CHRF3,51.14
1CO,hin,pan,0,,437,WER,46.50
1CO,hin,pan,0,,437,TER,61.26
1CO,hin,pan,0,,437,spBLEU,30.81
2CO,hin,pan,0,,256,BLEU,21.07/54.69/27.61/15.08/8.66/1.000/7261/6921
2CO,hin,pan,0,,256,CHRF3,48.84
2CO,hin,pan,0,,256,WER,50.10
2CO,hin,pan,0,,256,TER,63.84
2CO,hin,pan,0,,256,spBLEU,27.10
GAL,hin,pan,0,,149,BLEU,27.97/61.69/33.98/21.37/13.67/1.000/3607/3591
GAL,hin,pan,0,,149,CHRF3,54.07
GAL,hin,pan,0,,149,WER,41.38
GAL,hin,pan,0,,149,TER,55.59
GAL,hin,pan,0,,149,spBLEU,36.56
EPH,hin,pan,0,,155,BLEU,24.71/56.96/30.80/18.63/11.67/0.994/3369/3389
EPH,hin,pan,0,,155,CHRF3,50.94
EPH,hin,pan,0,,155,WER,46.28
EPH,hin,pan,0,,155,TER,61.22
EPH,hin,pan,0,,155,spBLEU,31.31
PHP,hin,pan,0,,104,BLEU,20.54/53.39/27.52/14.90/8.13/1.000/2637/2464
PHP,hin,pan,0,,104,CHRF3,48.52
PHP,hin,pan,0,,104,WER,49.49
PHP,hin,pan,0,,104,TER,64.91
PHP,hin,pan,0,,104,spBLEU,27.25
COL,hin,pan,0,,95,BLEU,21.41/55.21/28.45/15.34/8.73/1.000/2302/2255
COL,hin,pan,0,,95,CHRF3,48.37
COL,hin,pan,0,,95,WER,51.56
COL,hin,pan,0,,95,TER,63.64
COL,hin,pan,0,,95,spBLEU,28.75
1TH,hin,pan,0,,89,BLEU,28.74/61.48/35.35/22.03/14.25/1.000/2134/2115
1TH,hin,pan,0,,89,CHRF3,55.47
1TH,hin,pan,0,,89,WER,43.74
1TH,hin,pan,0,,89,TER,56.55
1TH,hin,pan,0,,89,spBLEU,35.08
2TH,hin,pan,0,,47,BLEU,26.22/59.88/32.76/20.09/13.89/0.964/1149/1191
2TH,hin,pan,0,,47,CHRF3,51.84
2TH,hin,pan,0,,47,WER,44.18
2TH,hin,pan,0,,47,TER,58.47
2TH,hin,pan,0,,47,spBLEU,31.33
1TI,hin,pan,0,,113,BLEU,21.31/54.91/27.61/15.42/8.81/1.000/2710/2652
1TI,hin,pan,0,,113,CHRF3,48.19
1TI,hin,pan,0,,113,WER,48.32
1TI,hin,pan,0,,113,TER,63.45
1TI,hin,pan,0,,113,spBLEU,28.17
2TI,hin,pan,0,,83,BLEU,26.70/58.31/32.78/20.43/13.03/1.000/1938/1879
2TI,hin,pan,0,,83,CHRF3,52.62
2TI,hin,pan,0,,83,WER,42.66
2TI,hin,pan,0,,83,TER,57.92
2TI,hin,pan,0,,83,spBLEU,33.78
TIT,hin,pan,0,,46,BLEU,21.63/54.87/28.64/15.85/8.79/1.000/1139/1108
TIT,hin,pan,0,,46,CHRF3,49.11
TIT,hin,pan,0,,46,WER,48.10
TIT,hin,pan,0,,46,TER,62.26
TIT,hin,pan,0,,46,spBLEU,29.16
PHM,hin,pan,0,,25,BLEU,18.94/54.02/24.55/13.14/7.38/1.000/522/512
PHM,hin,pan,0,,25,CHRF3,44.74
PHM,hin,pan,0,,25,WER,53.01
PHM,hin,pan,0,,25,TER,68.94
PHM,hin,pan,0,,25,spBLEU,26.12
HEB,hin,pan,0,,303,BLEU,22.87/56.19/29.58/16.65/9.89/1.000/8172/7866
HEB,hin,pan,0,,303,CHRF3,50.01
HEB,hin,pan,0,,303,WER,48.79
HEB,hin,pan,0,,303,TER,61.96
HEB,hin,pan,0,,303,spBLEU,31.43
JAS,hin,pan,0,,108,BLEU,28.89/61.61/36.20/22.78/14.48/0.987/2727/2764
JAS,hin,pan,0,,108,CHRF3,54.21
JAS,hin,pan,0,,108,WER,38.81
JAS,hin,pan,0,,108,TER,53.67
JAS,hin,pan,0,,108,spBLEU,36.00
1PE,hin,pan,0,,105,BLEU,22.09/54.38/28.50/16.23/9.47/1.000/2828/2797
1PE,hin,pan,0,,105,CHRF3,48.40
1PE,hin,pan,0,,105,WER,49.87
1PE,hin,pan,0,,105,TER,64.56
1PE,hin,pan,0,,105,spBLEU,29.31
2PE,hin,pan,0,,61,BLEU,21.85/54.62/28.60/15.57/9.36/1.000/1785/1743
2PE,hin,pan,0,,61,CHRF3,48.99
2PE,hin,pan,0,,61,WER,47.53
2PE,hin,pan,0,,61,TER,62.60
2PE,hin,pan,0,,61,spBLEU,27.84
1JN,hin,pan,0,,105,BLEU,32.24/65.69/39.43/25.54/16.34/1.000/3057/2977
1JN,hin,pan,0,,105,CHRF3,59.03
1JN,hin,pan,0,,105,WER,39.48
1JN,hin,pan,0,,105,TER,51.20
1JN,hin,pan,0,,105,spBLEU,37.75
2JN,hin,pan,0,,13,BLEU,24.44/59.00/31.29/17.57/11.00/1.000/339/327
2JN,hin,pan,0,,13,CHRF3,50.39
2JN,hin,pan,0,,13,WER,46.25
2JN,hin,pan,0,,13,TER,57.73
2JN,hin,pan,0,,13,spBLEU,28.00
3JN,hin,pan,0,,15,BLEU,26.61/58.76/33.71/19.65/12.88/1.000/371/360
3JN,hin,pan,0,,15,CHRF3,52.56
3JN,hin,pan,0,,15,WER,40.94
3JN,hin,pan,0,,15,TER,59.88
3JN,hin,pan,0,,15,spBLEU,33.26
JUD,hin,pan,0,,25,BLEU,19.83/55.58/27.13/13.55/7.57/1.000/788/760
JUD,hin,pan,0,,25,CHRF3,49.07
JUD,hin,pan,0,,25,WER,52.56
JUD,hin,pan,0,,25,TER,64.84
JUD,hin,pan,0,,25,spBLEU,27.61
REV,hin,pan,0,,405,BLEU,26.47/60.66/33.53/19.88/12.15/1.000/12975/12771
REV,hin,pan,0,,405,CHRF3,52.41
REV,hin,pan,0,,405,WER,43.30
REV,hin,pan,0,,405,TER,56.85
REV,hin,pan,0,,405,spBLEU,35.10
