book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,hin,pan,0,,3172,BLEU,24.63/58.51/31.63/18.31/10.98/0.997/81423/81643
ALL,hin,pan,0,,3172,CHRF3,50.68
ALL,hin,pan,0,,3172,WER,45.90
ALL,hin,pan,0,,3172,TER,59.42
ALL,hin,pan,0,,3172,spBLEU,31.53
ROM,hin,pan,0,,433,BLEU,26.25/60.07/33.79/19.88/12.08/0.993/10905/10977
ROM,hin,pan,0,,433,CHRF3,52.11
ROM,hin,pan,0,,433,WER,43.43
ROM,hin,pan,0,,433,TER,57.47
ROM,hin,pan,0,,433,spBLEU,33.36
1CO,hin,pan,0,,437,BLEU,24.06/56.83/30.91/17.75/10.75/1.000/10468/10224
1CO,hin,pan,0,,437,CHRF3,50.51
1CO,hin,pan,0,,437,WER,45.90
1CO,hin,pan,0,,437,TER,60.24
1CO,hin,pan,0,,437,spBLEU,30.58
2CO,hin,pan,0,,256,BLEU,21.03/55.07/27.91/14.88/8.55/1.000/6982/6921
2CO,hin,pan,0,,256,CHRF3,48.04
2CO,hin,pan,0,,256,WER,49.61
2CO,hin,pan,0,,256,TER,63.41
2CO,hin,pan,0,,256,spBLEU,27.29
GAL,hin,pan,0,,149,BLEU,27.42/62.60/34.85/21.51/13.50/0.972/3492/3591
GAL,hin,pan,0,,149,CHRF3,53.62
GAL,hin,pan,0,,149,WER,40.90
GAL,hin,pan,0,,149,TER,54.93
GAL,hin,pan,0,,149,spBLEU,35.83
EPH,hin,pan,0,,155,BLEU,22.95/57.57/30.70/17.75/10.33/0.962/3262/3389
EPH,hin,pan,0,,155,CHRF3,49.91
EPH,hin,pan,0,,155,WER,47.18
EPH,hin,pan,0,,155,TER,60.47
EPH,hin,pan,0,,155,spBLEU,30.19
PHP,hin,pan,0,,104,BLEU,20.16/54.25/27.30/14.64/7.62/1.000/2544/2464
PHP,hin,pan,0,,104,CHRF3,47.84
PHP,hin,pan,0,,104,WER,49.08
PHP,hin,pan,0,,104,TER,64.04
PHP,hin,pan,0,,104,spBLEU,26.34
COL,hin,pan,0,,95,BLEU,20.76/57.10/28.30/14.34/8.02/1.000/2254/2255
COL,hin,pan,0,,95,CHRF3,48.92
COL,hin,pan,0,,95,WER,49.70
COL,hin,pan,0,,95,TER,61.59
COL,hin,pan,0,,95,spBLEU,28.19
1TH,hin,pan,0,,89,BLEU,25.98/62.46/34.22/20.05/12.37/0.963/2038/2115
1TH,hin,pan,0,,89,CHRF3,53.90
1TH,hin,pan,0,,89,WER,44.80
1TH,hin,pan,0,,89,TER,57.04
1TH,hin,pan,0,,89,spBLEU,32.92
2TH,hin,pan,0,,47,BLEU,24.00/60.64/32.73/19.18/12.37/0.916/1095/1191
2TH,hin,pan,0,,47,CHRF3,49.21
2TH,hin,pan,0,,47,WER,47.71
2TH,hin,pan,0,,47,TER,59.69
2TH,hin,pan,0,,47,spBLEU,28.90
1TI,hin,pan,0,,113,BLEU,18.83/53.26/25.35/13.61/7.68/0.972/2578/2652
1TI,hin,pan,0,,113,CHRF3,44.76
1TI,hin,pan,0,,113,WER,50.70
1TI,hin,pan,0,,113,TER,66.55
1TI,hin,pan,0,,113,spBLEU,25.15
2TI,hin,pan,0,,83,BLEU,24.15/58.02/30.29/17.93/10.79/1.000/1889/1879
2TI,hin,pan,0,,83,CHRF3,49.54
2TI,hin,pan,0,,83,WER,46.17
2TI,hin,pan,0,,83,TER,59.65
2TI,hin,pan,0,,83,spBLEU,31.28
TIT,hin,pan,0,,46,BLEU,20.17/53.05/26.82/14.82/7.85/1.000/1131/1108
TIT,hin,pan,0,,46,CHRF3,47.17
TIT,hin,pan,0,,46,WER,55.52
TIT,hin,pan,0,,46,TER,66.51
TIT,hin,pan,0,,46,spBLEU,26.97
PHM,hin,pan,0,,25,BLEU,19.99/52.02/26.11/14.50/8.11/1.000/519/512
PHM,hin,pan,0,,25,CHRF3,45.47
PHM,hin,pan,0,,25,WER,54.62
PHM,hin,pan,0,,25,TER,68.74
PHM,hin,pan,0,,25,spBLEU,27.84
HEB,hin,pan,0,,303,BLEU,23.33/57.37/30.67/17.13/9.83/1.000/7940/7866
HEB,hin,pan,0,,303,CHRF3,49.64
HEB,hin,pan,0,,303,WER,47.72
HEB,hin,pan,0,,303,TER,60.50
HEB,hin,pan,0,,303,spBLEU,31.50
JAS,hin,pan,0,,108,BLEU,29.63/62.73/37.13/23.88/15.64/0.970/2683/2764
JAS,hin,pan,0,,108,CHRF3,54.25
JAS,hin,pan,0,,108,WER,37.98
JAS,hin,pan,0,,108,TER,52.42
JAS,hin,pan,0,,108,spBLEU,36.30
1PE,hin,pan,0,,105,BLEU,22.39/55.56/28.96/16.90/10.01/0.981/2743/2797
1PE,hin,pan,0,,105,CHRF3,48.19
1PE,hin,pan,0,,105,WER,49.52
1PE,hin,pan,0,,105,TER,63.66
1PE,hin,pan,0,,105,spBLEU,29.02
2PE,hin,pan,0,,61,BLEU,21.27/54.49/27.87/15.16/8.89/1.000/1758/1743
2PE,hin,pan,0,,61,CHRF3,47.93
2PE,hin,pan,0,,61,WER,49.97
2PE,hin,pan,0,,61,TER,63.25
2PE,hin,pan,0,,61,spBLEU,27.33
1JN,hin,pan,0,,105,BLEU,31.52/66.00/39.74/24.74/15.21/1.000/3044/2977
1JN,hin,pan,0,,105,CHRF3,59.25
1JN,hin,pan,0,,105,WER,39.51
1JN,hin,pan,0,,105,TER,50.88
1JN,hin,pan,0,,105,spBLEU,37.13
2JN,hin,pan,0,,13,BLEU,27.02/58.10/33.12/19.93/13.89/1.000/327/327
2JN,hin,pan,0,,13,CHRF3,50.07
2JN,hin,pan,0,,13,WER,47.14
2JN,hin,pan,0,,13,TER,58.99
2JN,hin,pan,0,,13,spBLEU,28.99
3JN,hin,pan,0,,15,BLEU,23.38/54.52/27.42/17.09/11.70/1.000/387/360
3JN,hin,pan,0,,15,CHRF3,50.22
3JN,hin,pan,0,,15,WER,48.57
3JN,hin,pan,0,,15,TER,65.41
3JN,hin,pan,0,,15,spBLEU,31.77
JUD,hin,pan,0,,25,BLEU,18.75/54.53/25.30/12.74/7.03/1.000/772/760
JUD,hin,pan,0,,25,CHRF3,47.16
JUD,hin,pan,0,,25,WER,53.11
JUD,hin,pan,0,,25,TER,65.80
JUD,hin,pan,0,,25,spBLEU,25.73
REV,hin,pan,0,,405,BLEU,26.51/61.36/33.92/20.22/12.35/0.987/12612/12771
REV,hin,pan,0,,405,CHRF3,51.92
REV,hin,pan,0,,405,WER,43.13
REV,hin,pan,0,,405,TER,56.68
REV,hin,pan,0,,405,spBLEU,34.65
