book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,hin,pan,0,,3172,BLEU,25.33/58.38/32.09/18.95/11.59/1.000/83440/81643
ALL,hin,pan,0,,3172,CHRF3,51.86
ALL,hin,pan,0,,3172,WER,45.70
ALL,hin,pan,0,,3172,TER,59.28
ALL,hin,pan,0,,3172,spBLEU,32.78
ROM,hin,pan,0,,433,BLEU,26.34/59.98/33.56/19.91/12.02/1.000/11103/10977
ROM,hin,pan,0,,433,CHRF3,52.92
ROM,hin,pan,0,,433,WER,43.16
ROM,hin,pan,0,,433,TER,57.48
ROM,hin,pan,0,,433,spBLEU,33.97
1CO,hin,pan,0,,437,BLEU,24.53/56.82/31.09/18.20/11.27/1.000/10682/10224
1CO,hin,pan,0,,437,CHRF3,51.36
1CO,hin,pan,0,,437,WER,46.46
1CO,hin,pan,0,,437,TER,60.80
1CO,hin,pan,0,,437,spBLEU,31.35
2CO,hin,pan,0,,256,BLEU,22.61/55.72/29.25/16.53/9.71/1.000/7083/6921
2CO,hin,pan,0,,256,CHRF3,49.58
2CO,hin,pan,0,,256,WER,48.93
2CO,hin,pan,0,,256,TER,62.40
2CO,hin,pan,0,,256,spBLEU,28.51
GAL,hin,pan,0,,149,BLEU,28.65/61.47/34.73/21.96/14.37/1.000/3613/3591
GAL,hin,pan,0,,149,CHRF3,54.40
GAL,hin,pan,0,,149,WER,41.85
GAL,hin,pan,0,,149,TER,55.27
GAL,hin,pan,0,,149,spBLEU,37.59
EPH,hin,pan,0,,155,BLEU,24.32/56.84/31.07/18.08/10.95/1.000/3441/3389
EPH,hin,pan,0,,155,CHRF3,51.79
EPH,hin,pan,0,,155,WER,46.50
EPH,hin,pan,0,,155,TER,61.19
EPH,hin,pan,0,,155,spBLEU,31.45
PHP,hin,pan,0,,104,BLEU,21.48/53.50/27.87/15.86/9.01/1.000/2598/2464
PHP,hin,pan,0,,104,CHRF3,48.89
PHP,hin,pan,0,,104,WER,48.77
PHP,hin,pan,0,,104,TER,65.00
PHP,hin,pan,0,,104,spBLEU,27.66
COL,hin,pan,0,,95,BLEU,22.13/56.30/29.44/15.82/9.16/1.000/2327/2255
COL,hin,pan,0,,95,CHRF3,49.96
COL,hin,pan,0,,95,WER,51.51
COL,hin,pan,0,,95,TER,62.55
COL,hin,pan,0,,95,spBLEU,29.38
1TH,hin,pan,0,,89,BLEU,30.10/63.67/37.64/23.23/14.86/0.998/2111/2115
1TH,hin,pan,0,,89,CHRF3,56.61
1TH,hin,pan,0,,89,WER,43.86
1TH,hin,pan,0,,89,TER,54.28
1TH,hin,pan,0,,89,spBLEU,36.40
2TH,hin,pan,0,,47,BLEU,27.85/60.71/34.42/21.73/15.39/0.963/1148/1191
2TH,hin,pan,0,,47,CHRF3,52.45
2TH,hin,pan,0,,47,WER,43.84
2TH,hin,pan,0,,47,TER,57.78
2TH,hin,pan,0,,47,spBLEU,32.44
1TI,hin,pan,0,,113,BLEU,19.95/52.13/26.13/14.19/8.19/1.000/2868/2652
1TI,hin,pan,0,,113,CHRF3,48.09
1TI,hin,pan,0,,113,WER,52.76
1TI,hin,pan,0,,113,TER,67.06
1TI,hin,pan,0,,113,spBLEU,27.33
2TI,hin,pan,0,,83,BLEU,27.29/58.60/33.72/20.95/13.40/1.000/1913/1879
2TI,hin,pan,0,,83,CHRF3,52.45
2TI,hin,pan,0,,83,WER,42.89
2TI,hin,pan,0,,83,TER,57.87
2TI,hin,pan,0,,83,spBLEU,34.38
TIT,hin,pan,0,,46,BLEU,20.99/52.68/27.32/15.39/8.76/1.000/1177/1108
TIT,hin,pan,0,,46,CHRF3,48.52
TIT,hin,pan,0,,46,WER,54.25
TIT,hin,pan,0,,46,TER,67.36
TIT,hin,pan,0,,46,spBLEU,28.17
PHM,hin,pan,0,,25,BLEU,25.04/57.20/30.62/18.83/11.92/1.000/528/512
PHM,hin,pan,0,,25,CHRF3,49.79
PHM,hin,pan,0,,25,WER,46.50
PHM,hin,pan,0,,25,TER,61.49
PHM,hin,pan,0,,25,spBLEU,32.22
HEB,hin,pan,0,,303,BLEU,23.65/57.16/30.87/17.43/10.16/1.000/8190/7866
