book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,swh,cwe,0,,250,BLEU,29.88/61.66/36.36/23.13/15.38/1.000/5542/5324
ALL,swh,cwe,0,,250,CHRF3,62.23
ALL,swh,cwe,0,,250,WER,41.70
ALL,swh,cwe,0,,250,TER,63.10
ALL,swh,cwe,0,,250,spBLEU,40.02
GEN,swh,cwe,0,,31,BLEU,24.10/59.53/31.38/17.39/10.38/1.000/729/728
GEN,swh,cwe,0,,31,CHRF3,56.75
GEN,swh,cwe,0,,31,WER,45.85
GEN,swh,cwe,0,,31,TER,69.17
GEN,swh,cwe,0,,31,spBLEU,33.82
JHN,swh,cwe,0,,16,BLEU,35.99/68.75/44.79/29.04/18.75/1.000/304/292
JHN,swh,cwe,0,,16,CHRF3,67.40
JHN,swh,cwe,0,,16,WER,33.94
JHN,swh,cwe,0,,16,TER,53.45
JHN,swh,cwe,0,,16,spBLEU,44.64
1JN,swh,cwe,0,,3,BLEU,28.18/69.09/38.46/22.45/15.22/0.913/55/60
1JN,swh,cwe,0,,3,CHRF3,58.88
1JN,swh,cwe,0,,3,WER,42.75
1JN,swh,cwe,0,,3,TER,63.46
1JN,swh,cwe,0,,3,spBLEU,37.59
NUM,swh,cwe,0,,16,BLEU,43.35/70.19/48.37/36.55/28.47/1.000/322/311
NUM,swh,cwe,0,,16,CHRF3,68.29
NUM,swh,cwe,0,,16,WER,23.77
NUM,swh,cwe,0,,16,TER,47.89
NUM,swh,cwe,0,,16,spBLEU,49.17
LEV,swh,cwe,0,,15,BLEU,38.22/69.41/44.97/31.89/21.43/1.000/353/338
LEV,swh,cwe,0,,15,CHRF3,69.22
LEV,swh,cwe,0,,15,WER,42.17
LEV,swh,cwe,0,,15,TER,56.38
LEV,swh,cwe,0,,15,spBLEU,51.88
1TI,swh,cwe,0,,2,BLEU,12.98/51.16/20.24/7.32/3.75/1.000/86/68
1TI,swh,cwe,0,,2,CHRF3,57.80
1TI,swh,cwe,0,,2,WER,51.25
1TI,swh,cwe,0,,2,TER,93.10
