book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,swh,cwe,0,,250,BLEU,17.11/50.62/23.29/12.90/7.75/0.924/4866/5252
ALL,swh,cwe,0,,250,CHRF3,46.11
ALL,swh,cwe,0,,250,WER,54.32
ALL,swh,cwe,0,,250,TER,76.84
ALL,swh,cwe,0,,250,spBLEU,24.94
GEN,swh,cwe,0,,31,BLEU,8.54/46.22/16.78/5.90/2.08/0.864/621/712
GEN,swh,cwe,0,,31,CHRF3,41.51
GEN,swh,cwe,0,,31,WER,55.50
GEN,swh,cwe,0,,31,TER,83.17
GEN,swh,cwe,0,,31,spBLEU,19.13
JHN,swh,cwe,0,,16,BLEU,22.12/53.05/26.24/16.60/10.82/0.989/279/282
JHN,swh,cwe,0,,16,CHRF3,51.23
JHN,swh,cwe,0,,16,WER,49.79
JHN,swh,cwe,0,,16,TER,73.71
JHN,swh,cwe,0,,16,spBLEU,32.30
1JN,swh,cwe,0,,3,BLEU,14.17/68.00/29.79/9.09/4.88/0.819/50/60
1JN,swh,cwe,0,,3,CHRF3,47.07
1JN,swh,cwe,0,,3,WER,52.69
1JN,swh,cwe,0,,3,TER,71.15
1JN,swh,cwe,0,,3,spBLEU,22.50
NUM,swh,cwe,0,,16,BLEU,30.71/57.05/32.18/24.91/20.23/0.990/305/308
NUM,swh,cwe,0,,16,CHRF3,53.45
NUM,swh,cwe,0,,16,WER,34.28
NUM,swh,cwe,0,,16,TER,65.52
NUM,swh,cwe,0,,16,spBLEU,32.26
LEV,swh,cwe,0,,15,BLEU,24.87/55.97/31.35/20.49/13.19/0.948/318/335
LEV,swh,cwe,0,,15,CHRF3,54.71
LEV,swh,cwe,0,,15,WER,56.39
LEV,swh,cwe,0,,15,TER,70.47
LEV,swh,cwe,0,,15,spBLEU,36.31
1TI,swh,cwe,0,,2,BLEU,17.15/50.85/22.81/14.55/9.43/0.859/59/68
1TI,swh,cwe,0,,2,CHRF3,43.47
1TI,swh,cwe,0,,2,WER,64.44
1TI,swh,cwe,0,,2,TER,77.59
1TI,swh,cwe,0,,2,spBLEU,18.32
DEU,swh,cwe,0,,16,BLEU,16.23/49.22/22.44/12.89/7.75/0.890/319/356
DEU,swh,cwe,0,,16,CHRF3,46.16
DEU,swh,cwe,0,,16,WER,55.71
DEU,swh,cwe,0,,16,TER,77.00
DEU,swh,cwe,0,,16,spBLEU,25.57
PHP,swh,cwe,0,,5,BLEU,15.16/49.32/23.53/12.70/8.62/0.803/73/89
