book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,swh,cwe,0,,250,BLEU,28.83/60.74/34.82/22.26/14.67/1.000/5733/5624
ALL,swh,cwe,0,,250,CHRF3,59.79
ALL,swh,cwe,0,,250,WER,44.59
ALL,swh,cwe,0,,250,TER,65.66
ALL,swh,cwe,0,,250,spBLEU,38.11
LEV,swh,cwe,0,,12,BLEU,33.47/61.00/38.19/27.90/19.32/1.000/300/280
LEV,swh,cwe,0,,12,CHRF3,65.31
LEV,swh,cwe,0,,12,WER,50.91
LEV,swh,cwe,0,,12,TER,64.14
LEV,swh,cwe,0,,12,spBLEU,44.32
ACT,swh,cwe,0,,20,BLEU,22.10/58.80/30.42/16.96/10.00/0.942/500/530
ACT,swh,cwe,0,,20,CHRF3,53.54
ACT,swh,cwe,0,,20,WER,47.76
ACT,swh,cwe,0,,20,TER,69.18
ACT,swh,cwe,0,,20,spBLEU,29.80
REV,swh,cwe,0,,10,BLEU,30.64/58.95/36.62/24.01/17.01/1.000/324/286
REV,swh,cwe,0,,10,CHRF3,64.71
REV,swh,cwe,0,,10,WER,49.14
REV,swh,cwe,0,,10,TER,65.86
REV,swh,cwe,0,,10,spBLEU,40.02
JHN,swh,cwe,0,,13,BLEU,32.24/64.42/39.76/25.31/16.67/1.000/267/265
JHN,swh,cwe,0,,13,CHRF3,62.88
JHN,swh,cwe,0,,13,WER,33.26
JHN,swh,cwe,0,,13,TER,60.75
JHN,swh,cwe,0,,13,spBLEU,42.74
GEN,swh,cwe,0,,32,BLEU,28.25/61.41/36.01/22.03/13.07/1.000/754/739
GEN,swh,cwe,0,,32,CHRF3,59.08
GEN,swh,cwe,0,,32,WER,44.78
GEN,swh,cwe,0,,32,TER,64.08
GEN,swh,cwe,0,,32,spBLEU,38.40
DEU,swh,cwe,0,,13,BLEU,37.50/63.11/42.23/31.80/23.33/1.000/309/292
DEU,swh,cwe,0,,13,CHRF3,65.92
DEU,swh,cwe,0,,13,WER,41.47
DEU,swh,cwe,0,,13,TER,62.45
DEU,swh,cwe,0,,13,spBLEU,44.23
MRK,swh,cwe,0,,13,BLEU,26.77/62.69/36.84/21.37/10.41/1.000/260/250
MRK,swh,cwe,0,,13,CHRF3,62.42
MRK,swh,cwe,0,,13,WER,38.85
MRK,swh,cwe,0,,13,TER,65.99
MRK,swh,cwe,0,,13,spBLEU,39.09
GAL,swh,cwe,0,,5,BLEU,18.97/57.48/27.87/13.68/7.14/0.954/127/133
GAL,swh,cwe,0,,5,CHRF3,50.67
GAL,swh,cwe,0,,5,WER,50.26
GAL,swh,cwe,0,,5,TER,71.30
GAL,swh,cwe,0,,5,spBLEU,28.61
NUM,swh,cwe,0,,17,BLEU,34.66/63.71/40.54/27.85/20.07/1.000/350/339
NUM,swh,cwe,0,,17,CHRF3,64.39
NUM,swh,cwe,0,,17,WER,35.48
NUM,swh,cwe,0,,17,TER,59.32
NUM,swh,cwe,0,,17,spBLEU,42.60
1CO,swh,cwe,0,,9,BLEU,35.84/65.43/39.87/28.47/22.22/1.000/162/153
1CO,swh,cwe,0,,9,CHRF3,66.27
1CO,swh,cwe,0,,9,WER,52.10
1CO,swh,cwe,0,,9,TER,67.48
1CO,swh,cwe,0,,9,spBLEU,43.49
LUK,swh,cwe,0,,18,BLEU,31.27/65.79/37.96/24.51/15.62/1.000/342/341
