book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,grc,cwe,0,,3168,BLEU,13.56/44.90/18.33/9.05/4.76/0.988/72705/73590
ALL,grc,cwe,0,,3168,CHRF3,44.35
ALL,grc,cwe,0,,3168,WER,59.30
ALL,grc,cwe,0,,3168,TER,81.78
ALL,grc,cwe,0,,3168,spBLEU,20.50
ROM,grc,cwe,0,,430,BLEU,13.35/45.18/18.06/8.73/4.54/0.996/9762/9805
ROM,grc,cwe,0,,430,CHRF3,45.46
ROM,grc,cwe,0,,430,WER,59.38
ROM,grc,cwe,0,,430,TER,83.62
ROM,grc,cwe,0,,430,spBLEU,20.91
1CO,grc,cwe,0,,437,BLEU,12.92/44.25/17.87/8.32/4.23/1.000/9459/9418
1CO,grc,cwe,0,,437,CHRF3,43.95
1CO,grc,cwe,0,,437,WER,59.41
1CO,grc,cwe,0,,437,TER,83.17
1CO,grc,cwe,0,,437,spBLEU,20.42
2CO,grc,cwe,0,,255,BLEU,9.93/39.42/14.18/6.45/3.01/0.972/5875/6039
2CO,grc,cwe,0,,255,CHRF3,40.41
2CO,grc,cwe,0,,255,WER,65.67
2CO,grc,cwe,0,,255,TER,87.96
2CO,grc,cwe,0,,255,spBLEU,16.43
GAL,grc,cwe,0,,149,BLEU,15.68/47.82/20.07/11.01/6.29/0.977/3214/3290
GAL,grc,cwe,0,,149,CHRF3,46.70
GAL,grc,cwe,0,,149,WER,58.42
GAL,grc,cwe,0,,149,TER,80.53
GAL,grc,cwe,0,,149,spBLEU,23.07
EPH,grc,cwe,0,,155,BLEU,11.72/42.44/16.51/7.54/3.57/1.000/3268/3222
EPH,grc,cwe,0,,155,CHRF3,42.57
EPH,grc,cwe,0,,155,WER,64.94
EPH,grc,cwe,0,,155,TER,87.83
EPH,grc,cwe,0,,155,spBLEU,18.61
PHP,grc,cwe,0,,104,BLEU,10.57/42.01/15.38/6.58/2.93/1.000/2152/2144
PHP,grc,cwe,0,,104,CHRF3,42.48
PHP,grc,cwe,0,,104,WER,63.17
PHP,grc,cwe,0,,104,TER,86.82
PHP,grc,cwe,0,,104,spBLEU,18.96
COL,grc,cwe,0,,95,BLEU,9.66/42.19/14.24/6.08/2.38/1.000/2131/2112
COL,grc,cwe,0,,95,CHRF3,42.45
COL,grc,cwe,0,,95,WER,61.26
COL,grc,cwe,0,,95,TER,85.42
COL,grc,cwe,0,,95,spBLEU,17.14
1TH,grc,cwe,0,,89,BLEU,12.48/45.29/16.98/7.65/4.12/1.000/1773/1768
1TH,grc,cwe,0,,89,CHRF3,45.08
1TH,grc,cwe,0,,89,WER,61.22
1TH,grc,cwe,0,,89,TER,80.55
1TH,grc,cwe,0,,89,spBLEU,20.35
2TH,grc,cwe,0,,47,BLEU,16.95/47.24/20.99/11.65/7.49/0.988/995/1007
2TH,grc,cwe,0,,47,CHRF3,46.28
2TH,grc,cwe,0,,47,WER,56.77
2TH,grc,cwe,0,,47,TER,76.82
2TH,grc,cwe,0,,47,spBLEU,23.84
1TI,grc,cwe,0,,113,BLEU,11.16/44.42/16.42/8.08/4.29/0.885/2366/2655
1TI,grc,cwe,0,,113,CHRF3,40.15
1TI,grc,cwe,0,,113,WER,57.88
1TI,grc,cwe,0,,113,TER,79.21
1TI,grc,cwe,0,,113,spBLEU,17.41
2TI,grc,cwe,0,,83,BLEU,10.91/42.61/15.92/7.80/3.22/0.955/1678/1755
2TI,grc,cwe,0,,83,CHRF3,41.65
2TI,grc,cwe,0,,83,WER,57.53
2TI,grc,cwe,0,,83,TER,81.23
2TI,grc,cwe,0,,83,spBLEU,17.52
TIT,grc,cwe,0,,46,BLEU,9.44/38.70/12.71/6.29/3.20/0.946/982/1036
TIT,grc,cwe,0,,46,CHRF3,37.49
TIT,grc,cwe,0,,46,WER,63.53
TIT,grc,cwe,0,,46,TER,86.60
TIT,grc,cwe,0,,46,spBLEU,13.81
PHM,grc,cwe,0,,25,BLEU,13.28/45.90/18.66/9.55/4.55/0.956/427/446
PHM,grc,cwe,0,,25,CHRF3,44.29
PHM,grc,cwe,0,,25,WER,65.51
PHM,grc,cwe,0,,25,TER,82.78
PHM,grc,cwe,0,,25,spBLEU,21.16
HEB,grc,cwe,0,,303,BLEU,11.47/43.18/16.59/7.90/3.79/0.948/6772/7131
HEB,grc,cwe,0,,303,CHRF3,41.70
HEB,grc,cwe,0,,303,WER,61.17
HEB,grc,cwe,0,,303,TER,83.35
HEB,grc,cwe,0,,303,spBLEU,17.90
JAS,grc,cwe,0,,108,BLEU,11.86/42.99/16.36/7.50/3.75/1.000/2296/2284
JAS,grc,cwe,0,,108,CHRF3,43.95
JAS,grc,cwe,0,,108,WER,58.61
JAS,grc,cwe,0,,108,TER,82.33
JAS,grc,cwe,0,,108,spBLEU,19.51
1PE,grc,cwe,0,,105,BLEU,12.00/43.92/17.23/8.03/3.79/0.974/2427/2491
1PE,grc,cwe,0,,105,CHRF3,42.80
1PE,grc,cwe,0,,105,WER,60.62
1PE,grc,cwe,0,,105,TER,83.38
1PE,grc,cwe,0,,105,spBLEU,19.10
2PE,grc,cwe,0,,61,BLEU,10.81/39.50/14.14/6.51/3.76/1.000/1567/1559
2PE,grc,cwe,0,,61,CHRF3,41.04
2PE,grc,cwe,0,,61,WER,61.55
2PE,grc,cwe,0,,61,TER,86.00
2PE,grc,cwe,0,,61,spBLEU,16.56
1JN,grc,cwe,0,,105,BLEU,20.40/52.54/25.80/14.66/8.82/0.997/2400/2407
1JN,grc,cwe,0,,105,CHRF3,51.80
1JN,grc,cwe,0,,105,WER,49.03
1JN,grc,cwe,0,,105,TER,71.29
1JN,grc,cwe,0,,105,spBLEU,28.19
2JN,grc,cwe,0,,13,BLEU,9.39/45.00/17.60/5.91/1.66/1.000/280/280
2JN,grc,cwe,0,,13,CHRF3,46.02
2JN,grc,cwe,0,,13,WER,54.83
2JN,grc,cwe,0,,13,TER,81.40
2JN,grc,cwe,0,,13,spBLEU,18.44
3JN,grc,cwe,0,,15,BLEU,12.92/45.58/18.28/8.33/4.02/1.000/294/289
3JN,grc,cwe,0,,15,CHRF3,45.35
3JN,grc,cwe,0,,15,WER,52.03
3JN,grc,cwe,0,,15,TER,79.44
3JN,grc,cwe,0,,15,spBLEU,19.92
JUD,grc,cwe,0,,25,BLEU,12.53/45.17/17.27/8.50/4.77/0.940/662/703
JUD,grc,cwe,0,,25,CHRF3,42.32
JUD,grc,cwe,0,,25,WER,60.81
JUD,grc,cwe,0,,25,TER,84.19
JUD,grc,cwe,0,,25,spBLEU,18.00
REV,grc,cwe,0,,405,BLEU,18.47/50.10/24.05/13.02/7.42/1.000/11925/11749
REV,grc,cwe,0,,405,CHRF3,49.23
REV,grc,cwe,0,,405,WER,52.67
REV,grc,cwe,0,,405,TER,74.09
REV,grc,cwe,0,,405,spBLEU,25.11
