book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,spa,zat,0,,7267,BLEU,11.24/42.05/16.00/6.93/3.42/1.000/240414/218713
ALL,spa,zat,0,,7267,CHRF3,41.83
ALL,spa,zat,0,,7267,WER,71.38
ALL,spa,zat,0,,7267,TER,92.25
ALL,spa,zat,0,,7267,spBLEU,23.36
MAT,spa,zat,0,,1071,BLEU,18.08/48.75/23.30/12.64/7.45/1.000/33319/30807
MAT,spa,zat,0,,1071,CHRF3,47.85
MAT,spa,zat,0,,1071,WER,63.31
MAT,spa,zat,0,,1071,TER,83.18
MAT,spa,zat,0,,1071,spBLEU,31.22
LUK,spa,zat,0,,1151,BLEU,14.76/45.23/20.05/9.85/5.32/1.000/35192/31624
LUK,spa,zat,0,,1151,CHRF3,45.56
LUK,spa,zat,0,,1151,WER,67.52
LUK,spa,zat,0,,1151,TER,88.96
LUK,spa,zat,0,,1151,spBLEU,27.77
JHN,spa,zat,0,,875,BLEU,14.71/46.37/20.02/9.68/5.21/1.000/25828/23078
JHN,spa,zat,0,,875,CHRF3,45.85
JHN,spa,zat,0,,875,WER,64.70
JHN,spa,zat,0,,875,TER,87.17
JHN,spa,zat,0,,875,spBLEU,28.21
ACT,spa,zat,0,,1006,BLEU,11.33/43.29/16.92/6.97/3.23/1.000/34643/31064
ACT,spa,zat,0,,1006,CHRF3,43.72
ACT,spa,zat,0,,1006,WER,71.93
ACT,spa,zat,0,,1006,TER,92.68
ACT,spa,zat,0,,1006,spBLEU,25.09
ROM,spa,zat,0,,431,BLEU,6.16/37.18/10.63/3.33/1.09/1.000/15292/13725
ROM,spa,zat,0,,431,CHRF3,37.42
ROM,spa,zat,0,,431,WER,78.61
ROM,spa,zat,0,,431,TER,98.73
ROM,spa,zat,0,,431,spBLEU,17.51
1CO,spa,zat,0,,435,BLEU,6.57/36.64/10.42/3.47/1.41/1.000/14382/13119
1CO,spa,zat,0,,435,CHRF3,37.15
1CO,spa,zat,0,,435,WER,76.86
1CO,spa,zat,0,,435,TER,97.18
1CO,spa,zat,0,,435,spBLEU,17.54
2CO,spa,zat,0,,256,BLEU,5.00/35.26/9.70/2.72/0.67/1.000/8793/8294
2CO,spa,zat,0,,256,CHRF3,34.94
2CO,spa,zat,0,,256,WER,77.04
2CO,spa,zat,0,,256,TER,97.47
2CO,spa,zat,0,,256,spBLEU,15.59
GAL,spa,zat,0,,149,BLEU,6.43/38.33/11.47/3.58/1.09/1.000/4962/4782
GAL,spa,zat,0,,149,CHRF3,36.69
GAL,spa,zat,0,,149,WER,75.83
GAL,spa,zat,0,,149,TER,95.08
GAL,spa,zat,0,,149,spBLEU,18.65
EPH,spa,zat,0,,155,BLEU,6.33/35.44/10.51/3.63/1.19/1.000/4768/4223
EPH,spa,zat,0,,155,CHRF3,36.82
EPH,spa,zat,0,,155,WER,79.38
EPH,spa,zat,0,,155,TER,100.64
EPH,spa,zat,0,,155,spBLEU,17.39
PHP,spa,zat,0,,104,BLEU,5.38/36.31/10.02/2.74/0.84/1.000/3167/2904
PHP,spa,zat,0,,104,CHRF3,36.21
PHP,spa,zat,0,,104,WER,75.01
PHP,spa,zat,0,,104,TER,97.52
PHP,spa,zat,0,,104,spBLEU,17.02
COL,spa,zat,0,,95,BLEU,6.85/37.91/11.46/3.74/1.36/1.000/3376/3133
