book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,spa,zat,0,,3164,BLEU,15.66/49.09/21.85/10.54/5.32/1.000/109527/102140
ALL,spa,zat,0,,3164,CHRF3,47.48
ALL,spa,zat,0,,3164,WER,64.25
ALL,spa,zat,0,,3164,TER,82.93
ALL,spa,zat,0,,3164,spBLEU,30.65
ROM,spa,zat,0,,431,BLEU,15.42/48.44/21.25/10.31/5.32/1.000/14800/13725
ROM,spa,zat,0,,431,CHRF3,47.74
ROM,spa,zat,0,,431,WER,63.85
ROM,spa,zat,0,,431,TER,83.44
ROM,spa,zat,0,,431,spBLEU,30.54
1CO,spa,zat,0,,435,BLEU,14.67/47.66/20.55/9.74/4.86/1.000/14013/13119
1CO,spa,zat,0,,435,CHRF3,46.57
1CO,spa,zat,0,,435,WER,64.54
1CO,spa,zat,0,,435,TER,83.64
1CO,spa,zat,0,,435,spBLEU,29.77
2CO,spa,zat,0,,256,BLEU,11.62/44.65/17.69/7.51/3.08/1.000/8825/8294
2CO,spa,zat,0,,256,CHRF3,44.06
2CO,spa,zat,0,,256,WER,67.74
2CO,spa,zat,0,,256,TER,88.06
2CO,spa,zat,0,,256,spBLEU,26.25
GAL,spa,zat,0,,149,BLEU,14.74/48.31/20.50/9.88/4.83/1.000/4984/4782
GAL,spa,zat,0,,149,CHRF3,46.68
GAL,spa,zat,0,,149,WER,63.56
GAL,spa,zat,0,,149,TER,84.32
GAL,spa,zat,0,,149,spBLEU,30.56
EPH,spa,zat,0,,155,BLEU,13.73/46.33/19.88/9.12/4.23/1.000/4576/4223
EPH,spa,zat,0,,155,CHRF3,45.87
EPH,spa,zat,0,,155,WER,66.26
EPH,spa,zat,0,,155,TER,86.50
EPH,spa,zat,0,,155,spBLEU,28.40
PHP,spa,zat,0,,104,BLEU,11.21/45.32/17.64/7.04/2.81/1.000/3193/2904
PHP,spa,zat,0,,104,CHRF3,45.06
PHP,spa,zat,0,,104,WER,66.24
PHP,spa,zat,0,,104,TER,89.10
PHP,spa,zat,0,,104,spBLEU,26.75
COL,spa,zat,0,,95,BLEU,15.01/49.97/22.09/10.17/4.52/1.000/3296/3133
COL,spa,zat,0,,95,CHRF3,47.02
COL,spa,zat,0,,95,WER,63.05
COL,spa,zat,0,,95,TER,81.68
COL,spa,zat,0,,95,spBLEU,31.30
1TH,spa,zat,0,,89,BLEU,15.31/49.94/21.78/10.32/4.89/1.000/2679/2485
1TH,spa,zat,0,,89,CHRF3,48.70
1TH,spa,zat,0,,89,WER,64.25
1TH,spa,zat,0,,89,TER,82.52
1TH,spa,zat,0,,89,spBLEU,30.66
2TH,spa,zat,0,,47,BLEU,15.40/49.20/22.11/10.40/4.97/1.000/1508/1293
2TH,spa,zat,0,,47,CHRF3,50.39
2TH,spa,zat,0,,47,WER,64.94
2TH,spa,zat,0,,47,TER,87.79
2TH,spa,zat,0,,47,spBLEU,32.72
1TI,spa,zat,0,,113,BLEU,16.25/49.02/22.28/10.92/5.85/1.000/4017/3700
1TI,spa,zat,0,,113,CHRF3,48.87
1TI,spa,zat,0,,113,WER,66.06
1TI,spa,zat,0,,113,TER,83.66
1TI,spa,zat,0,,113,spBLEU,31.03
2TI,spa,zat,0,,83,BLEU,17.13/48.12/22.45/11.66/6.83/1.000/2635/2392
2TI,spa,zat,0,,83,CHRF3,48.75
2TI,spa,zat,0,,83,WER,61.83
2TI,spa,zat,0,,83,TER,83.33
2TI,spa,zat,0,,83,spBLEU,30.70
TIT,spa,zat,0,,46,BLEU,16.51/47.87/21.99/11.13/6.35/1.000/1665/1531
TIT,spa,zat,0,,46,CHRF3,48.66
TIT,spa,zat,0,,46,WER,68.37
TIT,spa,zat,0,,46,TER,85.91
TIT,spa,zat,0,,46,spBLEU,31.52
PHM,spa,zat,0,,25,BLEU,15.54/47.26/21.01/10.69/5.49/1.000/658/590
PHM,spa,zat,0,,25,CHRF3,46.56
PHM,spa,zat,0,,25,WER,67.22
PHM,spa,zat,0,,25,TER,86.90
PHM,spa,zat,0,,25,spBLEU,26.68
HEB,spa,zat,0,,303,BLEU,14.58/48.81/20.89/9.46/4.69/1.000/10507/9883
HEB,spa,zat,0,,303,CHRF3,46.66
HEB,spa,zat,0,,303,WER,66.76
HEB,spa,zat,0,,303,TER,83.86
HEB,spa,zat,0,,303,spBLEU,29.90
JAS,spa,zat,0,,107,BLEU,16.18/51.21/23.03/10.85/5.36/1.000/3568/3512
JAS,spa,zat,0,,107,CHRF3,46.58
JAS,spa,zat,0,,107,WER,60.34
JAS,spa,zat,0,,107,TER,78.45
JAS,spa,zat,0,,107,spBLEU,31.99
1PE,spa,zat,0,,105,BLEU,16.77/51.47/22.64/11.21/6.05/1.000/3833/3651
1PE,spa,zat,0,,105,CHRF3,48.46
1PE,spa,zat,0,,105,WER,64.62
1PE,spa,zat,0,,105,TER,81.39
1PE,spa,zat,0,,105,spBLEU,31.52
2PE,spa,zat,0,,61,BLEU,16.21/48.66/22.60/11.08/5.67/1.000/2388/2179
2PE,spa,zat,0,,61,CHRF3,48.38
2PE,spa,zat,0,,61,WER,65.62
2PE,spa,zat,0,,61,TER,83.40
2PE,spa,zat,0,,61,spBLEU,30.51
1JN,spa,zat,0,,105,BLEU,19.14/56.70/27.17/13.61/6.90/0.981/3259/3320
1JN,spa,zat,0,,105,CHRF3,50.29
1JN,spa,zat,0,,105,WER,53.56
1JN,spa,zat,0,,105,TER,71.42
1JN,spa,zat,0,,105,spBLEU,38.58
2JN,spa,zat,0,,13,BLEU,15.17/50.95/22.36/10.41/4.46/1.000/420/377
2JN,spa,zat,0,,13,CHRF3,49.79
2JN,spa,zat,0,,13,WER,63.34
2JN,spa,zat,0,,13,TER,81.68
2JN,spa,zat,0,,13,spBLEU,32.07
3JN,spa,zat,0,,14,BLEU,17.74/50.91/24.76/12.44/6.31/1.000/438/414
3JN,spa,zat,0,,14,CHRF3,48.53
3JN,spa,zat,0,,14,WER,72.76
3JN,spa,zat,0,,14,TER,80.11
3JN,spa,zat,0,,14,spBLEU,32.16
JUD,spa,zat,0,,24,BLEU,17.53/56.09/25.88/12.69/6.56/0.940/986/1047
JUD,spa,zat,0,,24,CHRF3,48.06
JUD,spa,zat,0,,24,WER,57.82
JUD,spa,zat,0,,24,TER,74.70
JUD,spa,zat,0,,24,spBLEU,34.63
REV,spa,zat,0,,404,BLEU,19.04/52.10/25.68/13.55/7.25/1.000/17279/15586
REV,spa,zat,0,,404,CHRF3,49.72
REV,spa,zat,0,,404,WER,62.38
REV,spa,zat,0,,404,TER,79.62
REV,spa,zat,0,,404,spBLEU,32.97
