book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,grc,zat,0,,3161,BLEU,12.27/44.89/17.87/7.76/3.64/1.000/106998/102025
ALL,grc,zat,0,,3161,CHRF3,43.04
ALL,grc,zat,0,,3161,WER,69.31
ALL,grc,zat,0,,3161,TER,88.15
ALL,grc,zat,0,,3161,spBLEU,26.11
ROM,grc,zat,0,,428,BLEU,11.85/44.73/17.35/7.49/3.40/1.000/14327/13606
ROM,grc,zat,0,,428,CHRF3,43.53
ROM,grc,zat,0,,428,WER,68.93
ROM,grc,zat,0,,428,TER,88.66
ROM,grc,zat,0,,428,spBLEU,26.51
1CO,grc,zat,0,,435,BLEU,11.68/44.43/16.96/7.29/3.39/1.000/13512/13119
1CO,grc,zat,0,,435,CHRF3,42.66
1CO,grc,zat,0,,435,WER,67.83
1CO,grc,zat,0,,435,TER,87.25
1CO,grc,zat,0,,435,spBLEU,26.21
2CO,grc,zat,0,,255,BLEU,8.65/40.16/13.70/4.98/2.04/1.000/8417/8266
2CO,grc,zat,0,,255,CHRF3,38.77
2CO,grc,zat,0,,255,WER,72.74
2CO,grc,zat,0,,255,TER,92.48
2CO,grc,zat,0,,255,spBLEU,21.60
GAL,grc,zat,0,,149,BLEU,12.37/45.32/17.43/7.82/3.79/1.000/4797/4782
GAL,grc,zat,0,,149,CHRF3,42.38
GAL,grc,zat,0,,149,WER,66.93
GAL,grc,zat,0,,149,TER,87.04
GAL,grc,zat,0,,149,spBLEU,26.84
EPH,grc,zat,0,,155,BLEU,11.15/42.54/16.28/6.80/3.27/1.000/4558/4223
EPH,grc,zat,0,,155,CHRF3,42.94
EPH,grc,zat,0,,155,WER,70.58
EPH,grc,zat,0,,155,TER,91.06
EPH,grc,zat,0,,155,spBLEU,25.29
PHP,grc,zat,0,,104,BLEU,7.99/40.70/14.18/4.77/1.48/1.000/3017/2904
PHP,grc,zat,0,,104,CHRF3,39.54
PHP,grc,zat,0,,104,WER,71.53
PHP,grc,zat,0,,104,TER,92.68
PHP,grc,zat,0,,104,spBLEU,22.20
COL,grc,zat,0,,95,BLEU,13.14/46.56/19.05/8.62/3.99/0.994/3114/3133
COL,grc,zat,0,,95,CHRF3,42.43
COL,grc,zat,0,,95,WER,68.47
COL,grc,zat,0,,95,TER,86.97
COL,grc,zat,0,,95,spBLEU,27.73
1TH,grc,zat,0,,89,BLEU,12.12/44.31/18.32/7.90/3.37/1.000/2584/2485
1TH,grc,zat,0,,89,CHRF3,42.90
1TH,grc,zat,0,,89,WER,71.59
1TH,grc,zat,0,,89,TER,89.64
1TH,grc,zat,0,,89,spBLEU,26.35
2TH,grc,zat,0,,47,BLEU,12.91/46.39/19.64/7.89/3.86/1.000/1386/1293
2TH,grc,zat,0,,47,CHRF3,45.37
2TH,grc,zat,0,,47,WER,68.90
2TH,grc,zat,0,,47,TER,87.26
2TH,grc,zat,0,,47,spBLEU,28.42
1TI,grc,zat,0,,113,BLEU,11.74/43.99/17.48/7.26/3.40/1.000/3808/3700
1TI,grc,zat,0,,113,CHRF3,42.75
1TI,grc,zat,0,,113,WER,69.18
1TI,grc,zat,0,,113,TER,88.24
1TI,grc,zat,0,,113,spBLEU,25.60
2TI,grc,zat,0,,83,BLEU,10.86/41.45/16.08/6.64/3.14/1.000/2545/2392
2TI,grc,zat,0,,83,CHRF3,41.65
2TI,grc,zat,0,,83,WER,71.45
2TI,grc,zat,0,,83,TER,92.17
2TI,grc,zat,0,,83,spBLEU,23.85
TIT,grc,zat,0,,46,BLEU,10.57/41.86/16.32/6.43/2.84/1.000/1584/1531
TIT,grc,zat,0,,46,CHRF3,42.26
TIT,grc,zat,0,,46,WER,69.82
TIT,grc,zat,0,,46,TER,88.81
