book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,npi,taj,0,,250,BLEU,33.09/58.98/39.16/27.09/19.16/1.000/7758/7587
ALL,npi,taj,0,,250,CHRF3,59.89
ALL,npi,taj,0,,250,WER,52.10
ALL,npi,taj,0,,250,TER,62.30
ALL,npi,taj,0,,250,spBLEU,51.02
ROM,npi,taj,0,,15,BLEU,23.32/48.25/26.98/18.31/12.41/1.000/456/434
ROM,npi,taj,0,,15,CHRF3,53.84
ROM,npi,taj,0,,15,WER,63.60
ROM,npi,taj,0,,15,TER,75.30
ROM,npi,taj,0,,15,spBLEU,41.79
LUK,npi,taj,0,,41,BLEU,37.97/64.52/45.52/32.41/23.33/0.984/1023/1040
LUK,npi,taj,0,,41,CHRF3,63.29
LUK,npi,taj,0,,41,WER,43.86
LUK,npi,taj,0,,41,TER,53.25
LUK,npi,taj,0,,41,spBLEU,57.18
JHN,npi,taj,0,,25,BLEU,30.76/60.83/38.54/24.73/15.43/1.000/697/684
JHN,npi,taj,0,,25,CHRF3,60.63
JHN,npi,taj,0,,25,WER,48.07
JHN,npi,taj,0,,25,TER,58.54
JHN,npi,taj,0,,25,spBLEU,52.24
1TH,npi,taj,0,,2,BLEU,14.61/47.37/22.22/14.71/9.38/0.749/38/49
1TH,npi,taj,0,,2,CHRF3,40.51
1TH,npi,taj,0,,2,WER,62.19
1TH,npi,taj,0,,2,TER,75.51
1TH,npi,taj,0,,2,spBLEU,32.93
GAL,npi,taj,0,,6,BLEU,27.10/57.97/31.82/20.63/14.17/1.000/138/130
GAL,npi,taj,0,,6,CHRF3,61.87
GAL,npi,taj,0,,6,WER,50.75
GAL,npi,taj,0,,6,TER,66.94
GAL,npi,taj,0,,6,spBLEU,48.11
COL,npi,taj,0,,6,BLEU,16.89/44.83/24.78/13.18/8.41/0.902/232/256
COL,npi,taj,0,,6,CHRF3,46.55
COL,npi,taj,0,,6,WER,70.92
COL,npi,taj,0,,6,TER,82.68
COL,npi,taj,0,,6,spBLEU,36.86
MAT,npi,taj,0,,24,BLEU,46.88/67.06/51.78/41.38/33.63/1.000/756/748
MAT,npi,taj,0,,24,CHRF3,65.08
MAT,npi,taj,0,,24,WER,48.84
MAT,npi,taj,0,,24,TER,50.78
MAT,npi,taj,0,,24,spBLEU,59.44
REV,npi,taj,0,,10,BLEU,36.85/61.89/43.53/31.12/21.99/1.000/412/391
REV,npi,taj,0,,10,CHRF3,64.55
REV,npi,taj,0,,10,WER,49.23
REV,npi,taj,0,,10,TER,58.78
REV,npi,taj,0,,10,spBLEU,55.59
MRK,npi,taj,0,,19,BLEU,45.84/66.04/50.68/40.76/32.36/1.000/536/501
MRK,npi,taj,0,,19,CHRF3,69.54
MRK,npi,taj,0,,19,WER,41.81
MRK,npi,taj,0,,19,TER,51.73
MRK,npi,taj,0,,19,spBLEU,59.84
ACT,npi,taj,0,,34,BLEU,30.13/59.36/37.14/24.08/15.85/0.995/1181/1187
ACT,npi,taj,0,,34,CHRF3,59.91
ACT,npi,taj,0,,34,WER,52.55
ACT,npi,taj,0,,34,TER,62.53
ACT,npi,taj,0,,34,spBLEU,49.97
EPH,npi,taj,0,,8,BLEU,22.63/52.36/29.59/16.99/9.96/1.000/275/257
EPH,npi,taj,0,,8,CHRF3,54.94
EPH,npi,taj,0,,8,WER,65.52
EPH,npi,taj,0,,8,TER,72.51
EPH,npi,taj,0,,8,spBLEU,41.11
PHP,npi,taj,0,,3,BLEU,34.17/62.90/38.98/26.79/20.75/1.000/62/48
PHP,npi,taj,0,,3,CHRF3,71.09
PHP,npi,taj,0,,3,WER,52.85
PHP,npi,taj,0,,3,TER,58.70
PHP,npi,taj,0,,3,spBLEU,52.10
2PE,npi,taj,0,,5,BLEU,27.32/55.56/36.14/21.32/13.02/1.000/207/198
2PE,npi,taj,0,,5,CHRF3,57.68
2PE,npi,taj,0,,5,WER,50.93
2PE,npi,taj,0,,5,TER,60.51
2PE,npi,taj,0,,5,spBLEU,45.59
1TI,npi,taj,0,,2,BLEU,26.31/48.31/29.89/21.18/15.66/1.000/89/75
1TI,npi,taj,0,,2,CHRF3,55.67
1TI,npi,taj,0,,2,WER,57.39
1TI,npi,taj,0,,2,TER,75.34
1TI,npi,taj,0,,2,spBLEU,37.87
1JN,npi,taj,0,,2,BLEU,42.47/67.29/48.57/35.92/27.72/1.000/107/95
1JN,npi,taj,0,,2,CHRF3,71.71
1JN,npi,taj,0,,2,WER,60.16
1JN,npi,taj,0,,2,TER,54.84
1JN,npi,taj,0,,2,spBLEU,51.12
2CO,npi,taj,0,,10,BLEU,17.82/52.03/27.54/13.58/6.69/0.938/344/366
2CO,npi,taj,0,,10,CHRF3,49.96
2CO,npi,taj,0,,10,WER,63.36
2CO,npi,taj,0,,10,TER,75.56
2CO,npi,taj,0,,10,spBLEU,41.73
HEB,npi,taj,0,,7,BLEU,22.14/46.70/27.73/17.37/10.68/1.000/227/213
HEB,npi,taj,0,,7,CHRF3,52.18
HEB,npi,taj,0,,7,WER,63.90
HEB,npi,taj,0,,7,TER,76.12
HEB,npi,taj,0,,7,spBLEU,38.81
2JN,npi,taj,0,,2,BLEU,45.44/75.44/54.55/37.74/27.45/1.000/57/55
2JN,npi,taj,0,,2,CHRF3,68.47
2JN,npi,taj,0,,2,WER,39.59
2JN,npi,taj,0,,2,TER,43.40
2JN,npi,taj,0,,2,spBLEU,65.71
2TI,npi,taj,0,,2,BLEU,25.86/47.30/33.33/21.43/13.24/1.000/74/51
2TI,npi,taj,0,,2,CHRF3,62.90
2TI,npi,taj,0,,2,WER,78.99
2TI,npi,taj,0,,2,TER,87.76
2TI,npi,taj,0,,2,spBLEU,37.89
1CO,npi,taj,0,,13,BLEU,30.20/55.00/37.06/24.86/16.42/1.000/380/356
1CO,npi,taj,0,,13,CHRF3,56.88
1CO,npi,taj,0,,13,WER,50.58
1CO,npi,taj,0,,13,TER,66.28
1CO,npi,taj,0,,13,spBLEU,45.89
PHM,npi,taj,0,,2,BLEU,19.50/50.98/28.57/14.89/6.67/1.000/51/36
PHM,npi,taj,0,,2,CHRF3,60.23
PHM,npi,taj,0,,2,WER,66.80
PHM,npi,taj,0,,2,TER,77.78
