book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,npi,taj,0,,250,BLEU,10.78/34.42/15.49/8.95/5.62/0.842/4736/5549
ALL,npi,taj,0,,250,CHRF3,38.82
ALL,npi,taj,0,,250,WER,67.13
ALL,npi,taj,0,,250,TER,85.13
ALL,npi,taj,0,,250,spBLEU,27.97
JHN,npi,taj,0,,25,BLEU,7.05/35.19/13.76/5.24/2.24/0.812/432/522
JHN,npi,taj,0,,25,CHRF3,36.04
JHN,npi,taj,0,,25,WER,76.94
JHN,npi,taj,0,,25,TER,89.26
JHN,npi,taj,0,,25,spBLEU,26.11
2JN,npi,taj,0,,2,BLEU,9.00/44.44/20.59/9.38/1.67/0.823/36/43
2JN,npi,taj,0,,2,CHRF3,38.51
2JN,npi,taj,0,,2,WER,68.61
2JN,npi,taj,0,,2,TER,78.05
2JN,npi,taj,0,,2,spBLEU,27.24
ROM,npi,taj,0,,15,BLEU,6.42/29.55/9.42/4.21/2.44/0.878/291/329
ROM,npi,taj,0,,15,CHRF3,34.62
ROM,npi,taj,0,,15,WER,68.77
ROM,npi,taj,0,,15,TER,90.34
ROM,npi,taj,0,,15,spBLEU,22.26
ACT,npi,taj,0,,34,BLEU,4.45/27.46/8.33/3.16/1.41/0.788/670/830
ACT,npi,taj,0,,34,CHRF3,33.54
ACT,npi,taj,0,,34,WER,67.85
ACT,npi,taj,0,,34,TER,88.67
ACT,npi,taj,0,,34,spBLEU,20.53
3JN,npi,taj,0,,1,BLEU,6.63/47.62/20.00/10.53/2.78/0.513/21/35
3JN,npi,taj,0,,1,CHRF3,34.81
3JN,npi,taj,0,,1,WER,57.21
3JN,npi,taj,0,,1,TER,75.76
3JN,npi,taj,0,,1,spBLEU,22.92
MAT,npi,taj,0,,24,BLEU,21.03/46.49/27.78/20.59/15.10/0.835/456/538
MAT,npi,taj,0,,24,CHRF3,48.10
MAT,npi,taj,0,,24,WER,57.44
MAT,npi,taj,0,,24,TER,72.46
MAT,npi,taj,0,,24,spBLEU,39.98
HEB,npi,taj,0,,7,BLEU,5.24/21.57/8.22/2.88/1.52/0.993/153/154
HEB,npi,taj,0,,7,CHRF3,36.52
HEB,npi,taj,0,,7,WER,79.17
HEB,npi,taj,0,,7,TER,97.99
HEB,npi,taj,0,,7,spBLEU,20.80
1CO,npi,taj,0,,13,BLEU,11.22/32.11/17.56/10.42/5.03/0.856/218/252
1CO,npi,taj,0,,13,CHRF3,36.45
1CO,npi,taj,0,,13,WER,70.31
1CO,npi,taj,0,,13,TER,86.78
1CO,npi,taj,0,,13,spBLEU,25.19
MRK,npi,taj,0,,19,BLEU,22.48/48.43/28.09/20.00/15.33/0.885/318/357
MRK,npi,taj,0,,19,CHRF3,48.50
MRK,npi,taj,0,,19,WER,55.66
MRK,npi,taj,0,,19,TER,71.13
MRK,npi,taj,0,,19,spBLEU,41.14
GAL,npi,taj,0,,6,BLEU,5.11/30.11/9.20/3.70/0.67/1.000/93/93
GAL,npi,taj,0,,6,CHRF3,41.07
GAL,npi,taj,0,,6,WER,80.51
GAL,npi,taj,0,,6,TER,93.10
GAL,npi,taj,0,,6,spBLEU,26.35
LUK,npi,taj,0,,41,BLEU,17.97/40.77/24.41/16.78/12.02/0.849/672/782
LUK,npi,taj,0,,41,CHRF3,43.38
LUK,npi,taj,0,,41,WER,61.15
LUK,npi,taj,0,,41,TER,76.90
LUK,npi,taj,0,,41,spBLEU,34.01
2TH,npi,taj,0,,2,BLEU,13.41/35.29/16.33/10.64/6.67/0.943/51/54
2TH,npi,taj,0,,2,CHRF3,42.19
2TH,npi,taj,0,,2,WER,66.41
2TH,npi,taj,0,,2,TER,88.46
2TH,npi,taj,0,,2,spBLEU,32.15
REV,npi,taj,0,,10,BLEU,8.71/38.91/15.72/6.85/2.87/0.832/239/283
REV,npi,taj,0,,10,CHRF3,39.14
REV,npi,taj,0,,10,WER,65.79
REV,npi,taj,0,,10,TER,83.09
REV,npi,taj,0,,10,spBLEU,29.70
EPH,npi,taj,0,,8,BLEU,11.39/32.14/15.00/8.55/5.56/0.926/168/181
EPH,npi,taj,0,,8,CHRF3,41.39
EPH,npi,taj,0,,8,WER,72.69
EPH,npi,taj,0,,8,TER,88.70
EPH,npi,taj,0,,8,spBLEU,27.60
1TI,npi,taj,0,,2,BLEU,2.36/22.95/3.39/0.88/0.45/1.000/61/57
1TI,npi,taj,0,,2,CHRF3,34.88
1TI,npi,taj,0,,2,WER,73.89
1TI,npi,taj,0,,2,TER,96.36
1TI,npi,taj,0,,2,spBLEU,11.16
JAS,npi,taj,0,,3,BLEU,6.54/33.33/8.33/4.35/3.03/0.841/75/88
JAS,npi,taj,0,,3,CHRF3,43.49
JAS,npi,taj,0,,3,WER,67.37
JAS,npi,taj,0,,3,TER,84.34
JAS,npi,taj,0,,3,spBLEU,29.96
2TI,npi,taj,0,,2,BLEU,6.17/28.57/9.09/3.23/1.72/1.000/35/33
2TI,npi,taj,0,,2,CHRF3,46.43
2TI,npi,taj,0,,2,WER,72.91
2TI,npi,taj,0,,2,TER,90.32
2TI,npi,taj,0,,2,spBLEU,29.03
2CO,npi,taj,0,,10,BLEU,4.39/27.14/9.00/4.21/1.11/0.755/210/269
2CO,npi,taj,0,,10,CHRF3,30.73
2CO,npi,taj,0,,10,WER,72.20
2CO,npi,taj,0,,10,TER,90.49
2CO,npi,taj,0,,10,spBLEU,19.03
1PE,npi,taj,0,,2,BLEU,1.47/20.00/1.52/0.81/0.43/0.819/35/42
1PE,npi,taj,0,,2,CHRF3,33.40
1PE,npi,taj,0,,2,WER,71.25
1PE,npi,taj,0,,2,TER,97.62
1PE,npi,taj,0,,2,spBLEU,22.71
