book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,npi,taj,0,,250,BLEU,34.19/59.41/40.42/28.20/20.18/1.000/7706/7692
ALL,npi,taj,0,,250,CHRF3,59.86
ALL,npi,taj,0,,250,WER,48.81
ALL,npi,taj,0,,250,TER,60.94
ALL,npi,taj,0,,250,spBLEU,52.02
REV,npi,taj,0,,12,BLEU,36.60/62.52/43.44/30.06/21.97/1.000/523/512
REV,npi,taj,0,,12,CHRF3,64.18
REV,npi,taj,0,,12,WER,45.03
REV,npi,taj,0,,12,TER,56.40
REV,npi,taj,0,,12,spBLEU,54.71
GAL,npi,taj,0,,3,BLEU,35.42/70.29/49.63/36.36/26.36/0.828/138/164
GAL,npi,taj,0,,3,CHRF3,58.91
GAL,npi,taj,0,,3,WER,45.12
GAL,npi,taj,0,,3,TER,51.85
GAL,npi,taj,0,,3,spBLEU,48.48
MRK,npi,taj,0,,25,BLEU,37.41/64.66/45.99/31.12/21.15/1.000/699/692
MRK,npi,taj,0,,25,CHRF3,64.17
MRK,npi,taj,0,,25,WER,50.08
MRK,npi,taj,0,,25,TER,55.54
MRK,npi,taj,0,,25,spBLEU,55.84
1CO,npi,taj,0,,15,BLEU,28.75/52.28/34.30/23.67/16.11/1.000/461/398
1CO,npi,taj,0,,15,CHRF3,58.19
1CO,npi,taj,0,,15,WER,53.34
1CO,npi,taj,0,,15,TER,71.24
1CO,npi,taj,0,,15,spBLEU,44.78
ROM,npi,taj,0,,8,BLEU,23.53/51.85/30.53/18.90/12.60/0.949/270/284
ROM,npi,taj,0,,8,CHRF3,52.06
ROM,npi,taj,0,,8,WER,57.19
ROM,npi,taj,0,,8,TER,70.29
ROM,npi,taj,0,,8,spBLEU,41.08
LUK,npi,taj,0,,32,BLEU,35.26/58.27/40.51/29.69/22.06/1.000/980/950
LUK,npi,taj,0,,32,CHRF3,59.43
LUK,npi,taj,0,,32,WER,50.68
LUK,npi,taj,0,,32,TER,64.25
LUK,npi,taj,0,,32,spBLEU,50.47
JAS,npi,taj,0,,4,BLEU,32.90/54.14/39.53/28.80/19.01/1.000/133/129
JAS,npi,taj,0,,4,CHRF3,57.24
JAS,npi,taj,0,,4,WER,52.76
JAS,npi,taj,0,,4,TER,62.70
JAS,npi,taj,0,,4,spBLEU,48.92
ACT,npi,taj,0,,34,BLEU,32.20/58.13/38.74/26.61/18.29/0.995/1015/1020
ACT,npi,taj,0,,34,CHRF3,59.86
ACT,npi,taj,0,,34,WER,50.23
ACT,npi,taj,0,,34,TER,60.95
ACT,npi,taj,0,,34,spBLEU,51.34
MAT,npi,taj,0,,42,BLEU,40.93/68.09/49.95/37.22/28.84/0.936/1097/1169
MAT,npi,taj,0,,42,CHRF3,64.09
MAT,npi,taj,0,,42,WER,37.35
MAT,npi,taj,0,,42,TER,51.71
MAT,npi,taj,0,,42,spBLEU,57.56
JHN,npi,taj,0,,32,BLEU,38.18/64.28/44.63/32.88/24.90/0.975/879/901
JHN,npi,taj,0,,32,CHRF3,62.97
JHN,npi,taj,0,,32,WER,44.14
JHN,npi,taj,0,,32,TER,56.50
JHN,npi,taj,0,,32,spBLEU,57.22
HEB,npi,taj,0,,8,BLEU,28.11/58.79/37.27/23.25/14.71/0.956/330/345
HEB,npi,taj,0,,8,CHRF3,56.24
HEB,npi,taj,0,,8,WER,52.72
HEB,npi,taj,0,,8,TER,61.42
HEB,npi,taj,0,,8,spBLEU,45.75
1TI,npi,taj,0,,6,BLEU,27.73/53.47/33.67/21.58/15.22/1.000/202/192
1TI,npi,taj,0,,6,CHRF3,54.27
1TI,npi,taj,0,,6,WER,55.76
1TI,npi,taj,0,,6,TER,69.35
1TI,npi,taj,0,,6,spBLEU,45.02
2PE,npi,taj,0,,3,BLEU,16.75/42.61/20.54/11.93/7.55/1.000/115/109
2PE,npi,taj,0,,3,CHRF3,49.61
2PE,npi,taj,0,,3,WER,68.60
2PE,npi,taj,0,,3,TER,80.37
2PE,npi,taj,0,,3,spBLEU,36.92
2CO,npi,taj,0,,5,BLEU,28.05/56.77/35.33/24.14/15.71/0.950/155/163
2CO,npi,taj,0,,5,CHRF3,55.84
2CO,npi,taj,0,,5,WER,47.06
2CO,npi,taj,0,,5,TER,59.88
2CO,npi,taj,0,,5,spBLEU,46.71
1JN,npi,taj,0,,3,BLEU,30.52/63.41/38.33/23.93/17.54/0.960/123/128
1JN,npi,taj,0,,3,CHRF3,56.68
1JN,npi,taj,0,,3,WER,54.10
1JN,npi,taj,0,,3,TER,58.27
1JN,npi,taj,0,,3,spBLEU,49.86
EPH,npi,taj,0,,3,BLEU,26.11/48.84/31.33/21.25/14.29/1.000/86/72
EPH,npi,taj,0,,3,CHRF3,58.44
EPH,npi,taj,0,,3,WER,74.97
EPH,npi,taj,0,,3,TER,77.46
EPH,npi,taj,0,,3,spBLEU,37.87
1PE,npi,taj,0,,2,BLEU,26.16/44.57/32.22/21.59/15.12/1.000/92/77
1PE,npi,taj,0,,2,CHRF3,55.61
1PE,npi,taj,0,,2,WER,56.88
1PE,npi,taj,0,,2,TER,76.00
1PE,npi,taj,0,,2,spBLEU,41.60
PHP,npi,taj,0,,3,BLEU,12.72/35.24/19.61/9.09/4.17/1.000/105/92
PHP,npi,taj,0,,3,CHRF3,45.08
PHP,npi,taj,0,,3,WER,66.78
PHP,npi,taj,0,,3,TER,82.42
PHP,npi,taj,0,,3,spBLEU,29.82
2JN,npi,taj,0,,1,BLEU,63.16/92.86/84.62/75.00/63.64/0.807/14/17
2JN,npi,taj,0,,1,CHRF3,68.00
2JN,npi,taj,0,,1,WER,23.91
2JN,npi,taj,0,,1,TER,23.53
2JN,npi,taj,0,,1,spBLEU,59.62
JUD,npi,taj,0,,1,BLEU,11.39/48.53/25.37/10.61/1.54/0.957/68/71
JUD,npi,taj,0,,1,CHRF3,54.23
JUD,npi,taj,0,,1,WER,63.71
JUD,npi,taj,0,,1,TER,74.65
JUD,npi,taj,0,,1,spBLEU,39.59
2TI,npi,taj,0,,1,BLEU,20.70/56.52/22.73/14.29/10.00/1.000/23/19
2TI,npi,taj,0,,1,CHRF3,55.01
2TI,npi,taj,0,,1,WER,55.10
2TI,npi,taj,0,,1,TER,68.42
2TI,npi,taj,0,,1,spBLEU,40.38
COL,npi,taj,0,,3,BLEU,6.70/38.46/17.33/4.17/0.72/1.000/78/65
COL,npi,taj,0,,3,CHRF3,52.04
COL,npi,taj,0,,3,WER,67.18
COL,npi,taj,0,,3,TER,90.48
COL,npi,taj,0,,3,spBLEU,30.45
TIT,npi,taj,0,,3,BLEU,25.41/42.86/29.63/20.51/16.00/1.000/84/78
TIT,npi,taj,0,,3,CHRF3,52.12
TIT,npi,taj,0,,3,WER,60.02
TIT,npi,taj,0,,3,TER,71.79
TIT,npi,taj,0,,3,spBLEU,38.81
2TH,npi,taj,0,,1,BLEU,9.00/38.89/25.71/11.76/1.52/0.779/36/45
2TH,npi,taj,0,,1,CHRF3,37.43
2TH,npi,taj,0,,1,WER,71.86
2TH,npi,taj,0,,1,TER,79.55
2TH,npi,taj,0,,1,spBLEU,28.69
