book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,npi,taj,0,,7247,BLEU,18.48/43.04/23.36/13.57/8.55/1.000/227044/221836
ALL,npi,taj,0,,7247,CHRF3,46.32
ALL,npi,taj,0,,7247,WER,61.65
ALL,npi,taj,0,,7247,TER,79.91
ALL,npi,taj,0,,7247,spBLEU,35.28
MAT,npi,taj,0,,1066,BLEU,30.55/52.79/34.95/25.06/18.84/1.000/32161/30503
MAT,npi,taj,0,,1066,CHRF3,56.06
MAT,npi,taj,0,,1066,WER,53.18
MAT,npi,taj,0,,1066,TER,68.39
MAT,npi,taj,0,,1066,spBLEU,45.88
LUK,npi,taj,0,,1142,BLEU,24.10/47.80/29.00/18.84/12.92/1.000/33751/31594
LUK,npi,taj,0,,1142,CHRF3,51.78
LUK,npi,taj,0,,1142,WER,58.54
LUK,npi,taj,0,,1142,TER,75.56
LUK,npi,taj,0,,1142,spBLEU,40.02
JHN,npi,taj,0,,878,BLEU,23.03/49.47/28.71/17.70/11.18/1.000/25755/25179
JHN,npi,taj,0,,878,CHRF3,51.37
JHN,npi,taj,0,,878,WER,57.04
JHN,npi,taj,0,,878,TER,73.97
JHN,npi,taj,0,,878,spBLEU,41.75
ACT,npi,taj,0,,1002,BLEU,15.48/40.18/20.70/11.00/6.27/1.000/31631/30672
ACT,npi,taj,0,,1002,CHRF3,45.01
ACT,npi,taj,0,,1002,WER,63.95
ACT,npi,taj,0,,1002,TER,82.56
ACT,npi,taj,0,,1002,spBLEU,32.25
ROM,npi,taj,0,,431,BLEU,11.97/38.63/17.73/8.20/3.98/0.980/14016/14305
ROM,npi,taj,0,,431,CHRF3,40.78
ROM,npi,taj,0,,431,WER,65.14
ROM,npi,taj,0,,431,TER,84.21
ROM,npi,taj,0,,431,spBLEU,28.69
1CO,npi,taj,0,,437,BLEU,13.38/38.93/18.93/9.16/4.74/1.000/13878/13857
1CO,npi,taj,0,,437,CHRF3,41.36
1CO,npi,taj,0,,437,WER,64.57
1CO,npi,taj,0,,437,TER,83.26
1CO,npi,taj,0,,437,spBLEU,30.39
2CO,npi,taj,0,,255,BLEU,10.75/38.55/17.10/7.51/3.59/0.931/8371/8965
2CO,npi,taj,0,,255,CHRF3,39.32
2CO,npi,taj,0,,255,WER,66.68
2CO,npi,taj,0,,255,TER,84.76
2CO,npi,taj,0,,255,spBLEU,29.22
GAL,npi,taj,0,,149,BLEU,11.44/36.92/16.85/7.61/3.62/1.000/4594/4578
GAL,npi,taj,0,,149,CHRF3,40.89
GAL,npi,taj,0,,149,WER,66.73
GAL,npi,taj,0,,149,TER,86.88
GAL,npi,taj,0,,149,spBLEU,28.91
EPH,npi,taj,0,,150,BLEU,11.10/35.51/16.71/7.22/3.54/1.000/4661/4386
