book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,npi,taj,0,,3159,BLEU,30.23/53.03/34.32/24.30/18.89/1.000/104124/103888
ALL,npi,taj,0,,3159,CHRF3,54.70
ALL,npi,taj,0,,3159,WER,53.01
ALL,npi,taj,0,,3159,TER,67.33
ALL,npi,taj,0,,3159,spBLEU,46.04
ROM,npi,taj,0,,431,BLEU,20.76/47.81/27.14/15.73/9.46/0.991/14172/14305
ROM,npi,taj,0,,431,CHRF3,49.18
ROM,npi,taj,0,,431,WER,59.51
ROM,npi,taj,0,,431,TER,74.99
ROM,npi,taj,0,,431,spBLEU,38.75
1CO,npi,taj,0,,437,BLEU,20.52/47.48/26.56/15.22/9.24/1.000/13903/13857
1CO,npi,taj,0,,437,CHRF3,48.84
1CO,npi,taj,0,,437,WER,58.70
1CO,npi,taj,0,,437,TER,75.09
1CO,npi,taj,0,,437,spBLEU,39.01
2CO,npi,taj,0,,255,BLEU,15.67/43.41/21.49/10.94/6.10/0.992/8895/8965
2CO,npi,taj,0,,255,CHRF3,45.15
2CO,npi,taj,0,,255,WER,64.66
2CO,npi,taj,0,,255,TER,80.92
2CO,npi,taj,0,,255,spBLEU,35.20
GAL,npi,taj,0,,149,BLEU,22.42/47.65/27.80/17.22/11.08/1.000/4699/4578
GAL,npi,taj,0,,149,CHRF3,50.79
GAL,npi,taj,0,,149,WER,60.39
GAL,npi,taj,0,,149,TER,75.74
GAL,npi,taj,0,,149,spBLEU,39.99
EPH,npi,taj,0,,150,BLEU,19.05/45.59/24.75/13.88/8.42/1.000/4501/4386
EPH,npi,taj,0,,150,CHRF3,48.82
EPH,npi,taj,0,,150,WER,64.03
EPH,npi,taj,0,,150,TER,79.08
EPH,npi,taj,0,,150,spBLEU,38.03
PHP,npi,taj,0,,104,BLEU,19.01/45.22/24.36/14.16/8.37/1.000/3167/3058
PHP,npi,taj,0,,104,CHRF3,49.40
PHP,npi,taj,0,,104,WER,61.87
PHP,npi,taj,0,,104,TER,78.55
PHP,npi,taj,0,,104,spBLEU,38.76
COL,npi,taj,0,,94,BLEU,17.75/45.44/24.25/12.91/7.16/0.993/3046/3066
COL,npi,taj,0,,94,CHRF3,47.85
COL,npi,taj,0,,94,WER,63.26
COL,npi,taj,0,,94,TER,78.12
COL,npi,taj,0,,94,spBLEU,36.83
1TH,npi,taj,0,,88,BLEU,99.08/99.18/99.12/99.04/98.96/1.000/2574/2554
1TH,npi,taj,0,,88,CHRF3,99.89
1TH,npi,taj,0,,88,WER,0.44
1TH,npi,taj,0,,88,TER,0.79
1TH,npi,taj,0,,88,spBLEU,99.05
2TH,npi,taj,0,,47,BLEU,99.69/99.71/99.70/99.69/99.67/1.000/1365/1361
2TH,npi,taj,0,,47,CHRF3,99.98
2TH,npi,taj,0,,47,WER,0.20
2TH,npi,taj,0,,47,TER,0.30
2TH,npi,taj,0,,47,spBLEU,99.69
1TI,npi,taj,0,,112,BLEU,100.00/100.00/100.00/100.00/100.00/1.000/3554/3554
1TI,npi,taj,0,,112,CHRF3,100.00
1TI,npi,taj,0,,112,WER,0.00
1TI,npi,taj,0,,112,TER,0.00
1TI,npi,taj,0,,112,spBLEU,100.00
2TI,npi,taj,0,,82,BLEU,99.92/99.96/99.96/99.91/99.86/1.000/2421/2420
2TI,npi,taj,0,,82,CHRF3,100.00
2TI,npi,taj,0,,82,WER,0.04
2TI,npi,taj,0,,82,TER,0.04
2TI,npi,taj,0,,82,spBLEU,99.96
TIT,npi,taj,0,,46,BLEU,99.50/99.52/99.51/99.49/99.47/1.000/1465/1458
TIT,npi,taj,0,,46,CHRF3,99.93
TIT,npi,taj,0,,46,WER,0.48
TIT,npi,taj,0,,46,TER,0.49
TIT,npi,taj,0,,46,spBLEU,99.35
PHM,npi,taj,0,,25,BLEU,17.46/44.37/23.47/13.32/6.69/1.000/613/579
PHM,npi,taj,0,,25,CHRF3,48.20
PHM,npi,taj,0,,25,WER,57.24
PHM,npi,taj,0,,25,TER,79.19
PHM,npi,taj,0,,25,spBLEU,36.71
HEB,npi,taj,0,,302,BLEU,18.64/45.07/24.40/13.48/8.14/1.000/10022/9920
HEB,npi,taj,0,,302,CHRF3,47.82
HEB,npi,taj,0,,302,WER,63.18
HEB,npi,taj,0,,302,TER,78.40
HEB,npi,taj,0,,302,spBLEU,35.92
JAS,npi,taj,0,,108,BLEU,20.92/45.94/26.37/15.60/10.13/1.000/3472/3445
JAS,npi,taj,0,,108,CHRF3,47.97
JAS,npi,taj,0,,108,WER,60.35
JAS,npi,taj,0,,108,TER,76.57
JAS,npi,taj,0,,108,spBLEU,38.34
1PE,npi,taj,0,,105,BLEU,20.26/48.27/27.43/16.22/9.89/0.944/3360/3555
1PE,npi,taj,0,,105,CHRF3,48.57
1PE,npi,taj,0,,105,WER,59.40
1PE,npi,taj,0,,105,TER,74.40
1PE,npi,taj,0,,105,spBLEU,38.61
2PE,npi,taj,0,,61,BLEU,16.29/42.56/21.20/11.72/6.66/1.000/2136/2118
2PE,npi,taj,0,,61,CHRF3,47.18
2PE,npi,taj,0,,61,WER,63.10
2PE,npi,taj,0,,61,TER,80.84
2PE,npi,taj,0,,61,spBLEU,36.41
1JN,npi,taj,0,,105,BLEU,26.29/54.93/33.64/20.58/12.55/1.000/3732/3708
1JN,npi,taj,0,,105,CHRF3,55.12
1JN,npi,taj,0,,105,WER,53.47
1JN,npi,taj,0,,105,TER,64.99
1JN,npi,taj,0,,105,spBLEU,46.41
2JN,npi,taj,0,,13,BLEU,17.16/51.03/26.26/14.29/7.41/0.884/390/438
2JN,npi,taj,0,,13,CHRF3,44.83
2JN,npi,taj,0,,13,WER,56.81
2JN,npi,taj,0,,13,TER,70.07
2JN,npi,taj,0,,13,spBLEU,35.77
3JN,npi,taj,0,,15,BLEU,13.65/44.17/21.58/10.34/4.74/0.929/446/479
3JN,npi,taj,0,,15,CHRF3,44.69
3JN,npi,taj,0,,15,WER,60.87
3JN,npi,taj,0,,15,TER,78.46
3JN,npi,taj,0,,15,spBLEU,36.15
JUD,npi,taj,0,,25,BLEU,14.86/42.30/20.96/10.67/5.68/0.976/903/925
JUD,npi,taj,0,,25,CHRF3,45.61
JUD,npi,taj,0,,25,WER,63.94
