book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,tpi,yut,0,,3145,BLEU,18.13/54.39/24.83/12.34/6.48/1.000/109641/109062
ALL,tpi,yut,0,,3145,CHRF3,49.19
ALL,tpi,yut,0,,3145,WER,58.21
ALL,tpi,yut,0,,3145,TER,73.96
ALL,tpi,yut,0,,3145,spBLEU,36.52
ROM,tpi,yut,0,,428,BLEU,17.95/53.85/24.54/12.20/6.44/1.000/14959/14178
ROM,tpi,yut,0,,428,CHRF3,50.52
ROM,tpi,yut,0,,428,WER,60.40
ROM,tpi,yut,0,,428,TER,75.52
ROM,tpi,yut,0,,428,spBLEU,35.27
1CO,tpi,yut,0,,435,BLEU,18.06/53.72/24.58/12.43/6.48/1.000/13940/13488
1CO,tpi,yut,0,,435,CHRF3,48.68
1CO,tpi,yut,0,,435,WER,58.33
1CO,tpi,yut,0,,435,TER,74.45
1CO,tpi,yut,0,,435,spBLEU,36.10
2CO,tpi,yut,0,,252,BLEU,15.27/51.87/21.75/9.93/4.86/1.000/9176/9097
2CO,tpi,yut,0,,252,CHRF3,46.99
2CO,tpi,yut,0,,252,WER,60.35
2CO,tpi,yut,0,,252,TER,77.04
2CO,tpi,yut,0,,252,spBLEU,32.99
GAL,tpi,yut,0,,149,BLEU,20.63/57.00/27.95/14.66/7.75/1.000/4847/4740
GAL,tpi,yut,0,,149,CHRF3,52.33
GAL,tpi,yut,0,,149,WER,58.05
GAL,tpi,yut,0,,149,TER,71.93
GAL,tpi,yut,0,,149,spBLEU,37.95
EPH,tpi,yut,0,,152,BLEU,18.99/55.49/25.73/13.27/7.19/0.989/4630/4683
EPH,tpi,yut,0,,152,CHRF3,49.41
EPH,tpi,yut,0,,152,WER,57.55
EPH,tpi,yut,0,,152,TER,72.60
EPH,tpi,yut,0,,152,spBLEU,36.86
PHP,tpi,yut,0,,103,BLEU,12.89/50.40/19.92/8.80/4.29/0.924/3105/3352
PHP,tpi,yut,0,,103,CHRF3,43.28
PHP,tpi,yut,0,,103,WER,62.84
PHP,tpi,yut,0,,103,TER,79.31
PHP,tpi,yut,0,,103,spBLEU,30.34
COL,tpi,yut,0,,93,BLEU,15.48/54.68/24.15/11.18/5.43/0.920/3021/3273
COL,tpi,yut,0,,93,CHRF3,46.76
COL,tpi,yut,0,,93,WER,58.63
COL,tpi,yut,0,,93,TER,73.46
COL,tpi,yut,0,,93,spBLEU,34.56
1TH,tpi,yut,0,,89,BLEU,17.96/53.06/24.08/12.35/6.60/1.000/2631/2594
1TH,tpi,yut,0,,89,CHRF3,48.45
1TH,tpi,yut,0,,89,WER,58.70
1TH,tpi,yut,0,,89,TER,74.47
1TH,tpi,yut,0,,89,spBLEU,35.56
2TH,tpi,yut,0,,47,BLEU,21.66/56.32/28.00/15.11/9.24/1.000/1504/1493
2TH,tpi,yut,0,,47,CHRF3,50.99
2TH,tpi,yut,0,,47,WER,52.74
2TH,tpi,yut,0,,47,TER,69.53
2TH,tpi,yut,0,,47,spBLEU,38.57
1TI,tpi,yut,0,,113,BLEU,17.68/53.14/24.03/12.13/6.31/1.000/3871/3863
1TI,tpi,yut,0,,113,CHRF3,48.80
1TI,tpi,yut,0,,113,WER,57.51
1TI,tpi,yut,0,,113,TER,74.31
1TI,tpi,yut,0,,113,spBLEU,36.42
2TI,tpi,yut,0,,83,BLEU,17.89/54.11/24.39/12.49/6.47/0.990/2785/2812
2TI,tpi,yut,0,,83,CHRF3,49.70
2TI,tpi,yut,0,,83,WER,55.31
2TI,tpi,yut,0,,83,TER,71.97
2TI,tpi,yut,0,,83,spBLEU,36.18
TIT,tpi,yut,0,,46,BLEU,16.95/54.06/25.47/11.94/5.58/0.974/1750/1796
TIT,tpi,yut,0,,46,CHRF3,48.44
TIT,tpi,yut,0,,46,WER,57.79
TIT,tpi,yut,0,,46,TER,73.41
TIT,tpi,yut,0,,46,spBLEU,37.08
PHM,tpi,yut,0,,25,BLEU,18.95/55.25/25.85/12.69/7.12/1.000/791/772
PHM,tpi,yut,0,,25,CHRF3,51.92
PHM,tpi,yut,0,,25,WER,52.48
PHM,tpi,yut,0,,25,TER,72.91
PHM,tpi,yut,0,,25,spBLEU,35.23
HEB,tpi,yut,0,,297,BLEU,17.03/54.23/24.03/11.40/5.89/0.990/10663/10772
HEB,tpi,yut,0,,297,CHRF3,48.84
HEB,tpi,yut,0,,297,WER,58.46
HEB,tpi,yut,0,,297,TER,74.24
HEB,tpi,yut,0,,297,spBLEU,36.77
JAS,tpi,yut,0,,108,BLEU,19.73/55.70/26.15/13.58/7.66/1.000/3860/3852
JAS,tpi,yut,0,,108,CHRF3,49.50
JAS,tpi,yut,0,,108,WER,56.32
JAS,tpi,yut,0,,108,TER,72.08
JAS,tpi,yut,0,,108,spBLEU,37.55
1PE,tpi,yut,0,,104,BLEU,17.08/55.74/25.63/12.24/5.96/0.951/3787/3979
1PE,tpi,yut,0,,104,CHRF3,48.87
1PE,tpi,yut,0,,104,WER,57.41
1PE,tpi,yut,0,,104,TER,73.08
1PE,tpi,yut,0,,104,spBLEU,36.45
2PE,tpi,yut,0,,61,BLEU,13.49/51.98/21.57/9.24/4.02/0.944/2449/2589
2PE,tpi,yut,0,,61,CHRF3,46.18
2PE,tpi,yut,0,,61,WER,61.06
2PE,tpi,yut,0,,61,TER,76.38
2PE,tpi,yut,0,,61,spBLEU,33.47
1JN,tpi,yut,0,,103,BLEU,24.43/58.21/30.83/17.91/11.08/1.000/3522/3276
1JN,tpi,yut,0,,103,CHRF3,54.92
1JN,tpi,yut,0,,103,WER,53.90
1JN,tpi,yut,0,,103,TER,69.08
1JN,tpi,yut,0,,103,spBLEU,42.24
2JN,tpi,yut,0,,13,BLEU,24.75/62.85/35.53/19.89/11.58/0.924/393/424
2JN,tpi,yut,0,,13,CHRF3,53.73
2JN,tpi,yut,0,,13,WER,48.63
2JN,tpi,yut,0,,13,TER,61.26
2JN,tpi,yut,0,,13,spBLEU,44.17
3JN,tpi,yut,0,,15,BLEU,18.77/52.61/24.82/13.27/7.16/1.000/422/422
3JN,tpi,yut,0,,15,CHRF3,48.23
3JN,tpi,yut,0,,15,WER,58.24
3JN,tpi,yut,0,,15,TER,74.01
3JN,tpi,yut,0,,15,spBLEU,35.11
JUD,tpi,yut,0,,25,BLEU,17.37/52.54/23.29/11.41/6.53/1.000/1163/1123
JUD,tpi,yut,0,,25,CHRF3,48.67
JUD,tpi,yut,0,,25,WER,66.06
JUD,tpi,yut,0,,25,TER,79.44
JUD,tpi,yut,0,,25,spBLEU,34.72
