book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,yut,tpi,0,,3145,BLEU,29.58/67.30/37.74/22.19/13.58/1.000/148130/145816
ALL,yut,tpi,0,,3145,CHRF3,53.66
ALL,yut,tpi,0,,3145,WER,55.68
ALL,yut,tpi,0,,3145,TER,64.91
ALL,yut,tpi,0,,3145,spBLEU,30.04
ROM,yut,tpi,0,,428,BLEU,27.59/67.02/36.19/20.53/12.07/0.991/18948/19120
ROM,yut,tpi,0,,428,CHRF3,51.63
ROM,yut,tpi,0,,428,WER,56.62
ROM,yut,tpi,0,,428,TER,66.64
ROM,yut,tpi,0,,428,spBLEU,28.01
1CO,yut,tpi,0,,435,BLEU,28.95/66.18/37.00/21.65/13.25/1.000/18580/18229
1CO,yut,tpi,0,,435,CHRF3,52.72
1CO,yut,tpi,0,,435,WER,56.24
1CO,yut,tpi,0,,435,TER,65.97
1CO,yut,tpi,0,,435,spBLEU,29.40
2CO,yut,tpi,0,,252,BLEU,26.13/66.82/35.56/19.62/11.40/0.968/12513/12921
2CO,yut,tpi,0,,252,CHRF3,51.29
2CO,yut,tpi,0,,252,WER,57.19
2CO,yut,tpi,0,,252,TER,67.08
2CO,yut,tpi,0,,252,spBLEU,26.47
GAL,yut,tpi,0,,149,BLEU,31.85/68.51/39.27/24.25/15.78/1.000/6266/6183
GAL,yut,tpi,0,,149,CHRF3,55.61
GAL,yut,tpi,0,,149,WER,51.68
GAL,yut,tpi,0,,149,TER,62.29
GAL,yut,tpi,0,,149,spBLEU,32.57
EPH,yut,tpi,0,,152,BLEU,30.38/66.76/38.09/23.13/14.49/1.000/6405/6075
EPH,yut,tpi,0,,152,CHRF3,56.80
EPH,yut,tpi,0,,152,WER,55.34
EPH,yut,tpi,0,,152,TER,64.83
EPH,yut,tpi,0,,152,spBLEU,30.97
PHP,yut,tpi,0,,103,BLEU,21.91/59.04/29.36/15.51/8.58/1.000/4705/4174
PHP,yut,tpi,0,,103,CHRF3,51.87
PHP,yut,tpi,0,,103,WER,66.85
PHP,yut,tpi,0,,103,TER,79.61
PHP,yut,tpi,0,,103,spBLEU,22.82
COL,yut,tpi,0,,93,BLEU,25.59/60.63/32.65/19.14/11.33/1.000/4694/4002
COL,yut,tpi,0,,93,CHRF3,56.78
COL,yut,tpi,0,,93,WER,63.02
COL,yut,tpi,0,,93,TER,73.98
COL,yut,tpi,0,,93,spBLEU,26.29
1TH,yut,tpi,0,,89,BLEU,29.68/65.36/37.39/22.40/14.17/1.000/3710/3467
1TH,yut,tpi,0,,89,CHRF3,56.57
1TH,yut,tpi,0,,89,WER,55.92
1TH,yut,tpi,0,,89,TER,66.42
1TH,yut,tpi,0,,89,spBLEU,30.46
2TH,yut,tpi,0,,47,BLEU,33.31/69.25/41.07/26.19/16.52/1.000/2114/2101
2TH,yut,tpi,0,,47,CHRF3,56.28
2TH,yut,tpi,0,,47,WER,52.66
2TH,yut,tpi,0,,47,TER,62.13
2TH,yut,tpi,0,,47,spBLEU,34.28
