book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,mps,ppo,0,,3008,BLEU,4.66/30.34/7.74/2.41/0.83/1.000/152312/129837
ALL,mps,ppo,0,,3008,CHRF3,37.66
ALL,mps,ppo,0,,3008,WER,89.78
ALL,mps,ppo,0,,3008,TER,110.10
ALL,mps,ppo,0,,3008,spBLEU,13.26
ROM,mps,ppo,0,,417,BLEU,5.18/31.37/8.46/2.73/1.00/1.000/20544/17595
ROM,mps,ppo,0,,417,CHRF3,38.14
ROM,mps,ppo,0,,417,WER,89.77
ROM,mps,ppo,0,,417,TER,109.30
ROM,mps,ppo,0,,417,spBLEU,13.91
1CO,mps,ppo,0,,419,BLEU,4.07/30.12/7.17/2.03/0.62/1.000/19389/16879
1CO,mps,ppo,0,,419,CHRF3,36.53
1CO,mps,ppo,0,,419,WER,89.01
1CO,mps,ppo,0,,419,TER,109.18
1CO,mps,ppo,0,,419,spBLEU,13.12
2CO,mps,ppo,0,,247,BLEU,3.88/28.30/6.67/1.91/0.63/1.000/12249/10309
2CO,mps,ppo,0,,247,CHRF3,36.49
2CO,mps,ppo,0,,247,WER,93.89
2CO,mps,ppo,0,,247,TER,114.23
2CO,mps,ppo,0,,247,spBLEU,12.76
GAL,mps,ppo,0,,144,BLEU,4.45/29.03/7.65/2.23/0.79/1.000/7768/6116
GAL,mps,ppo,0,,144,CHRF3,39.26
GAL,mps,ppo,0,,144,WER,96.23
GAL,mps,ppo,0,,144,TER,117.11
GAL,mps,ppo,0,,144,spBLEU,12.45
EPH,mps,ppo,0,,146,BLEU,4.11/27.94/6.96/2.04/0.72/1.000/7545/5719
EPH,mps,ppo,0,,146,CHRF3,38.28
EPH,mps,ppo,0,,146,WER,99.86
EPH,mps,ppo,0,,146,TER,120.21
EPH,mps,ppo,0,,146,spBLEU,12.19
PHP,mps,ppo,0,,97,BLEU,3.67/29.54/6.67/1.84/0.50/1.000/4699/3931
PHP,mps,ppo,0,,97,CHRF3,38.37
PHP,mps,ppo,0,,97,WER,89.56
PHP,mps,ppo,0,,97,TER,110.33
PHP,mps,ppo,0,,97,spBLEU,12.63
