book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,enq,hui,0,,3019,BLEU,5.37/28.96/8.50/2.94/1.15/1.000/111548/102631
ALL,enq,hui,0,,3019,CHRF3,41.97
ALL,enq,hui,0,,3019,WER,76.55
ALL,enq,hui,0,,3019,TER,101.36
ALL,enq,hui,0,,3019,spBLEU,15.15
ROM,enq,hui,0,,416,BLEU,6.52/31.15/10.12/3.76/1.52/1.000/15638/14759
ROM,enq,hui,0,,416,CHRF3,43.48
ROM,enq,hui,0,,416,WER,74.82
ROM,enq,hui,0,,416,TER,98.91
ROM,enq,hui,0,,416,spBLEU,17.25
1CO,enq,hui,0,,420,BLEU,4.92/27.39/8.10/2.68/0.99/1.000/14734/12837
1CO,enq,hui,0,,420,CHRF3,41.19
1CO,enq,hui,0,,420,WER,79.78
1CO,enq,hui,0,,420,TER,105.58
1CO,enq,hui,0,,420,spBLEU,14.30
2CO,enq,hui,0,,248,BLEU,3.37/25.40/6.04/1.66/0.51/1.000/9643/8043
2CO,enq,hui,0,,248,CHRF3,40.65
2CO,enq,hui,0,,248,WER,81.69
2CO,enq,hui,0,,248,TER,111.01
2CO,enq,hui,0,,248,spBLEU,12.16
GAL,enq,hui,0,,143,BLEU,6.84/30.60/10.60/4.08/1.66/1.000/5069/4552
GAL,enq,hui,0,,143,CHRF3,43.57
GAL,enq,hui,0,,143,WER,77.49
GAL,enq,hui,0,,143,TER,101.32
GAL,enq,hui,0,,143,spBLEU,16.94
EPH,enq,hui,0,,142,BLEU,5.32/29.52/8.53/2.78/1.14/1.000/4810/4346
EPH,enq,hui,0,,142,CHRF3,43.91
EPH,enq,hui,0,,142,WER,77.90
EPH,enq,hui,0,,142,TER,101.48
EPH,enq,hui,0,,142,spBLEU,15.93
PHP,enq,hui,0,,99,BLEU,3.91/26.13/6.39/2.04/0.68/1.000/3525/2951
PHP,enq,hui,0,,99,CHRF3,41.02
PHP,enq,hui,0,,99,WER,82.77
PHP,enq,hui,0,,99,TER,108.41
PHP,enq,hui,0,,99,spBLEU,12.66
COL,enq,hui,0,,89,BLEU,4.51/29.37/7.73/2.42/0.75/1.000/3323/3109
COL,enq,hui,0,,89,CHRF3,42.23
COL,enq,hui,0,,89,WER,76.82
COL,enq,hui,0,,89,TER,100.72
COL,enq,hui,0,,89,spBLEU,14.17
1TH,enq,hui,0,,85,BLEU,5.60/32.00/10.04/3.33/0.92/1.000/2753/2609
1TH,enq,hui,0,,85,CHRF3,43.78
1TH,enq,hui,0,,85,WER,72.91
1TH,enq,hui,0,,85,TER,96.39
1TH,enq,hui,0,,85,spBLEU,17.55
2TH,enq,hui,0,,41,BLEU,6.15/33.05/10.36/3.46/1.21/1.000/1528/1501
2TH,enq,hui,0,,41,CHRF3,44.93
2TH,enq,hui,0,,41,WER,67.57
2TH,enq,hui,0,,41,TER,93.61
2TH,enq,hui,0,,41,spBLEU,18.86
1TI,enq,hui,0,,102,BLEU,4.28/26.16/7.23/2.25/0.79/1.000/3987/3457
1TI,enq,hui,0,,102,CHRF3,41.45
1TI,enq,hui,0,,102,WER,82.44
1TI,enq,hui,0,,102,TER,107.80
1TI,enq,hui,0,,102,spBLEU,13.69
2TI,enq,hui,0,,80,BLEU,4.22/27.59/7.24/2.21/0.72/1.000/2744/2474
2TI,enq,hui,0,,80,CHRF3,41.97
2TI,enq,hui,0,,80,WER,77.94
2TI,enq,hui,0,,80,TER,103.17
2TI,enq,hui,0,,80,spBLEU,14.00
TIT,enq,hui,0,,37,BLEU,3.94/28.39/7.11/1.94/0.62/1.000/1571/1457
TIT,enq,hui,0,,37,CHRF3,42.92
TIT,enq,hui,0,,37,WER,77.39
TIT,enq,hui,0,,37,TER,102.38
TIT,enq,hui,0,,37,spBLEU,13.98
PHM,enq,hui,0,,21,BLEU,3.79/28.79/6.97/2.08/0.50/1.000/667/585
PHM,enq,hui,0,,21,CHRF3,41.28
PHM,enq,hui,0,,21,WER,80.21
PHM,enq,hui,0,,21,TER,104.25
PHM,enq,hui,0,,21,spBLEU,14.82
HEB,enq,hui,0,,290,BLEU,6.26/30.53/9.33/3.42/1.57/1.000/11045/10747
HEB,enq,hui,0,,290,CHRF3,41.78
HEB,enq,hui,0,,290,WER,72.62
HEB,enq,hui,0,,290,TER,97.18
HEB,enq,hui,0,,290,spBLEU,16.41
JAS,enq,hui,0,,103,BLEU,5.83/27.37/8.51/3.27/1.52/1.000/3474/2906
JAS,enq,hui,0,,103,CHRF3,42.51
JAS,enq,hui,0,,103,WER,86.92
JAS,enq,hui,0,,103,TER,109.20
JAS,enq,hui,0,,103,spBLEU,14.87
1PE,enq,hui,0,,100,BLEU,5.99/28.37/8.85/3.31/1.55/1.000/3920/3690
1PE,enq,hui,0,,100,CHRF3,42.42
1PE,enq,hui,0,,100,WER,76.28
1PE,enq,hui,0,,100,TER,100.15
1PE,enq,hui,0,,100,spBLEU,15.28
2PE,enq,hui,0,,58,BLEU,6.15/29.05/8.69/3.31/1.75/0.995/2234/2245
2PE,enq,hui,0,,58,CHRF3,40.79
2PE,enq,hui,0,,58,WER,73.91
2PE,enq,hui,0,,58,TER,97.90
2PE,enq,hui,0,,58,spBLEU,15.14
1JN,enq,hui,0,,103,BLEU,6.02/34.17/9.93/3.22/1.33/0.974/3093/3173
