book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,tpi,yut,0,,3145,BLEU,16.47/51.61/22.77/11.00/5.69/1.000/114567/109062
ALL,tpi,yut,0,,3145,CHRF3,48.66
ALL,tpi,yut,0,,3145,WER,62.02
ALL,tpi,yut,0,,3145,TER,78.28
ALL,tpi,yut,0,,3145,spBLEU,34.05
ROM,tpi,yut,0,,428,BLEU,16.19/51.00/22.38/10.70/5.63/1.000/15470/14178
ROM,tpi,yut,0,,428,CHRF3,49.39
ROM,tpi,yut,0,,428,WER,64.23
ROM,tpi,yut,0,,428,TER,80.97
ROM,tpi,yut,0,,428,spBLEU,32.90
1CO,tpi,yut,0,,435,BLEU,16.42/50.46/22.13/11.08/5.88/1.000/14829/13488
1CO,tpi,yut,0,,435,CHRF3,48.48
1CO,tpi,yut,0,,435,WER,62.53
1CO,tpi,yut,0,,435,TER,79.63
1CO,tpi,yut,0,,435,spBLEU,33.17
2CO,tpi,yut,0,,252,BLEU,13.75/49.02/20.24/8.89/4.06/1.000/9629/9097
2CO,tpi,yut,0,,252,CHRF3,46.41
2CO,tpi,yut,0,,252,WER,64.68
2CO,tpi,yut,0,,252,TER,81.80
2CO,tpi,yut,0,,252,spBLEU,30.53
GAL,tpi,yut,0,,149,BLEU,20.34/54.99/26.88/14.28/8.11/1.000/5019/4740
GAL,tpi,yut,0,,149,CHRF3,51.72
GAL,tpi,yut,0,,149,WER,61.04
GAL,tpi,yut,0,,149,TER,75.07
GAL,tpi,yut,0,,149,spBLEU,36.30
EPH,tpi,yut,0,,152,BLEU,16.57/51.52/22.27/11.11/5.91/1.000/4975/4683
EPH,tpi,yut,0,,152,CHRF3,48.93
EPH,tpi,yut,0,,152,WER,63.27
EPH,tpi,yut,0,,152,TER,78.98
EPH,tpi,yut,0,,152,spBLEU,33.66
PHP,tpi,yut,0,,103,BLEU,11.98/47.73/18.01/7.61/3.62/0.966/3241/3352
PHP,tpi,yut,0,,103,CHRF3,42.45
PHP,tpi,yut,0,,103,WER,66.46
PHP,tpi,yut,0,,103,TER,84.04
PHP,tpi,yut,0,,103,spBLEU,29.28
COL,tpi,yut,0,,93,BLEU,15.09/52.92/22.64/10.71/4.93/0.952/3118/3273
COL,tpi,yut,0,,93,CHRF3,46.66
COL,tpi,yut,0,,93,WER,60.49
COL,tpi,yut,0,,93,TER,75.26
COL,tpi,yut,0,,93,spBLEU,33.74
1TH,tpi,yut,0,,89,BLEU,16.11/49.78/22.18/10.87/5.61/1.000/2762/2594
1TH,tpi,yut,0,,89,CHRF3,47.71
1TH,tpi,yut,0,,89,WER,62.99
1TH,tpi,yut,0,,89,TER,78.60
1TH,tpi,yut,0,,89,spBLEU,33.28
2TH,tpi,yut,0,,47,BLEU,19.83/53.50/25.98/13.66/8.15/1.000/1602/1493
2TH,tpi,yut,0,,47,CHRF3,51.75
2TH,tpi,yut,0,,47,WER,59.69
2TH,tpi,yut,0,,47,TER,76.13
2TH,tpi,yut,0,,47,spBLEU,37.30
1TI,tpi,yut,0,,113,BLEU,13.74/48.38/19.02/8.50/4.55/1.000/4072/3863
1TI,tpi,yut,0,,113,CHRF3,46.81
1TI,tpi,yut,0,,113,WER,64.66
1TI,tpi,yut,0,,113,TER,82.58
1TI,tpi,yut,0,,113,spBLEU,31.45
2TI,tpi,yut,0,,83,BLEU,14.20/51.16/20.66/9.16/4.20/1.000/2842/2812
2TI,tpi,yut,0,,83,CHRF3,47.16
2TI,tpi,yut,0,,83,WER,59.52
2TI,tpi,yut,0,,83,TER,77.62
2TI,tpi,yut,0,,83,spBLEU,32.59
TIT,tpi,yut,0,,46,BLEU,13.56/50.03/19.92/8.78/4.36/0.970/1743/1796
TIT,tpi,yut,0,,46,CHRF3,45.15
TIT,tpi,yut,0,,46,WER,63.27
TIT,tpi,yut,0,,46,TER,80.02
TIT,tpi,yut,0,,46,spBLEU,32.00
PHM,tpi,yut,0,,25,BLEU,18.90/55.43/26.07/13.13/6.72/1.000/819/772
PHM,tpi,yut,0,,25,CHRF3,51.64
PHM,tpi,yut,0,,25,WER,56.65
PHM,tpi,yut,0,,25,TER,74.08
PHM,tpi,yut,0,,25,spBLEU,34.13
