book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,tpi,yut,0,,3145,BLEU,16.72/52.65/23.11/11.19/5.74/1.000/109663/109062
ALL,tpi,yut,0,,3145,CHRF3,47.83
ALL,tpi,yut,0,,3145,WER,60.23
ALL,tpi,yut,0,,3145,TER,76.29
ALL,tpi,yut,0,,3145,spBLEU,34.78
ROM,tpi,yut,0,,428,BLEU,17.13/52.60/23.40/11.55/6.06/1.000/14965/14178
ROM,tpi,yut,0,,428,CHRF3,49.47
ROM,tpi,yut,0,,428,WER,61.51
ROM,tpi,yut,0,,428,TER,77.53
ROM,tpi,yut,0,,428,spBLEU,34.33
1CO,tpi,yut,0,,435,BLEU,16.64/51.94/22.95/11.17/5.75/1.000/14288/13488
1CO,tpi,yut,0,,435,CHRF3,48.20
1CO,tpi,yut,0,,435,WER,60.36
1CO,tpi,yut,0,,435,TER,77.21
1CO,tpi,yut,0,,435,spBLEU,34.43
2CO,tpi,yut,0,,252,BLEU,13.52/49.97/19.95/8.71/3.85/1.000/9226/9097
2CO,tpi,yut,0,,252,CHRF3,45.75
2CO,tpi,yut,0,,252,WER,63.59
2CO,tpi,yut,0,,252,TER,79.95
2CO,tpi,yut,0,,252,spBLEU,31.24
GAL,tpi,yut,0,,149,BLEU,19.80/55.92/26.43/13.85/7.51/1.000/4855/4740
GAL,tpi,yut,0,,149,CHRF3,50.49
GAL,tpi,yut,0,,149,WER,59.51
GAL,tpi,yut,0,,149,TER,72.88
GAL,tpi,yut,0,,149,spBLEU,36.76
EPH,tpi,yut,0,,152,BLEU,16.91/53.20/23.20/11.66/6.20/0.978/4583/4683
EPH,tpi,yut,0,,152,CHRF3,47.76
EPH,tpi,yut,0,,152,WER,59.26
EPH,tpi,yut,0,,152,TER,74.91
EPH,tpi,yut,0,,152,spBLEU,35.03
PHP,tpi,yut,0,,103,BLEU,11.53/49.79/18.56/7.95/3.33/0.922/3099/3352
PHP,tpi,yut,0,,103,CHRF3,42.38
PHP,tpi,yut,0,,103,WER,63.38
PHP,tpi,yut,0,,103,TER,80.61
PHP,tpi,yut,0,,103,spBLEU,29.19
COL,tpi,yut,0,,93,BLEU,13.30/53.05/21.87/9.57/4.48/0.891/2933/3273
COL,tpi,yut,0,,93,CHRF3,44.58
COL,tpi,yut,0,,93,WER,60.86
COL,tpi,yut,0,,93,TER,75.47
COL,tpi,yut,0,,93,spBLEU,31.92
1TH,tpi,yut,0,,89,BLEU,17.76/53.30/24.37/12.47/6.32/0.993/2576/2594
1TH,tpi,yut,0,,89,CHRF3,47.13
1TH,tpi,yut,0,,89,WER,59.11
1TH,tpi,yut,0,,89,TER,74.68
1TH,tpi,yut,0,,89,spBLEU,34.85
2TH,tpi,yut,0,,47,BLEU,17.64/51.90/24.00/12.27/7.20/0.969/1447/1493
2TH,tpi,yut,0,,47,CHRF3,46.59
2TH,tpi,yut,0,,47,WER,59.58
2TH,tpi,yut,0,,47,TER,76.72
2TH,tpi,yut,0,,47,spBLEU,34.65
1TI,tpi,yut,0,,113,BLEU,14.39/50.73/20.84/9.16/4.43/1.000/3885/3863
1TI,tpi,yut,0,,113,CHRF3,46.70
1TI,tpi,yut,0,,113,WER,62.23
1TI,tpi,yut,0,,113,TER,79.23
1TI,tpi,yut,0,,113,spBLEU,32.85
2TI,tpi,yut,0,,83,BLEU,14.93/50.34/20.82/9.70/4.89/1.000/2825/2812
2TI,tpi,yut,0,,83,CHRF3,46.95
2TI,tpi,yut,0,,83,WER,60.92
2TI,tpi,yut,0,,83,TER,78.49
2TI,tpi,yut,0,,83,spBLEU,32.12
TIT,tpi,yut,0,,46,BLEU,14.62/50.06/21.28/9.93/5.11/0.959/1724/1796
TIT,tpi,yut,0,,46,CHRF3,45.12
TIT,tpi,yut,0,,46,WER,61.09
TIT,tpi,yut,0,,46,TER,77.86
TIT,tpi,yut,0,,46,spBLEU,32.29
