book,src_iso,trg_iso,num_refs,references,sent_len,scorer,score
ALL,grc,yut,0,,3151,BLEU,9.57/42.73/14.41/5.71/2.54/0.984/107276/108956
ALL,grc,yut,0,,3151,CHRF3,38.57
ALL,grc,yut,0,,3151,WER,70.72
ALL,grc,yut,0,,3151,TER,88.12
ALL,grc,yut,0,,3151,spBLEU,24.79
ROM,grc,yut,0,,427,BLEU,9.85/42.78/14.79/5.82/2.55/1.000/14488/14070
ROM,grc,yut,0,,427,CHRF3,39.88
ROM,grc,yut,0,,427,WER,72.51
ROM,grc,yut,0,,427,TER,90.05
ROM,grc,yut,0,,427,spBLEU,24.27
1CO,grc,yut,0,,437,BLEU,9.07/42.57/13.93/5.31/2.15/1.000/13595/13488
1CO,grc,yut,0,,437,CHRF3,37.82
1CO,grc,yut,0,,437,WER,69.73
1CO,grc,yut,0,,437,TER,87.61
1CO,grc,yut,0,,437,spBLEU,24.35
2CO,grc,yut,0,,252,BLEU,7.15/40.07/11.90/4.19/1.62/0.948/8598/9060
2CO,grc,yut,0,,252,CHRF3,35.78
2CO,grc,yut,0,,252,WER,71.07
2CO,grc,yut,0,,252,TER,89.79
2CO,grc,yut,0,,252,spBLEU,21.12
GAL,grc,yut,0,,149,BLEU,10.87/45.09/15.82/6.73/3.27/0.971/4606/4740
GAL,grc,yut,0,,149,CHRF3,39.49
GAL,grc,yut,0,,149,WER,70.24
GAL,grc,yut,0,,149,TER,85.64
GAL,grc,yut,0,,149,spBLEU,25.41
EPH,grc,yut,0,,152,BLEU,8.70/42.24/13.63/5.18/2.35/0.951/4458/4683
EPH,grc,yut,0,,152,CHRF3,37.79
EPH,grc,yut,0,,152,WER,70.80
EPH,grc,yut,0,,152,TER,88.10
EPH,grc,yut,0,,152,spBLEU,24.02
PHP,grc,yut,0,,104,BLEU,7.26/39.90/11.79/4.41/1.77/0.932/3133/3352
PHP,grc,yut,0,,104,CHRF3,35.91
PHP,grc,yut,0,,104,WER,73.07
PHP,grc,yut,0,,104,TER,91.07
PHP,grc,yut,0,,104,spBLEU,21.08
COL,grc,yut,0,,95,BLEU,7.36/41.05/12.08/4.16/1.75/0.950/3150/3312
COL,grc,yut,0,,95,CHRF3,36.86
COL,grc,yut,0,,95,WER,71.25
COL,grc,yut,0,,95,TER,88.91
COL,grc,yut,0,,95,spBLEU,22.47
1TH,grc,yut,0,,89,BLEU,12.39/43.51/16.87/7.99/4.02/1.000/2756/2594
1TH,grc,yut,0,,89,CHRF3,41.15
1TH,grc,yut,0,,89,WER,71.85
1TH,grc,yut,0,,89,TER,88.32
1TH,grc,yut,0,,89,spBLEU,26.63
2TH,grc,yut,0,,47,BLEU,13.19/44.96/17.42/8.35/5.08/0.977/1459/1493
2TH,grc,yut,0,,47,CHRF3,40.55
2TH,grc,yut,0,,47,WER,67.42
2TH,grc,yut,0,,47,TER,83.17
2TH,grc,yut,0,,47,spBLEU,26.97
1TI,grc,yut,0,,113,BLEU,7.43/41.06/12.48/4.26/1.51/0.981/3792/3863
1TI,grc,yut,0,,113,CHRF3,37.28
1TI,grc,yut,0,,113,WER,73.24
1TI,grc,yut,0,,113,TER,90.58
1TI,grc,yut,0,,113,spBLEU,23.33
2TI,grc,yut,0,,83,BLEU,7.20/40.11/11.80/4.11/1.52/0.976/2745/2812
2TI,grc,yut,0,,83,CHRF3,36.22
2TI,grc,yut,0,,83,WER,71.82
2TI,grc,yut,0,,83,TER,90.27
2TI,grc,yut,0,,83,spBLEU,21.49
TIT,grc,yut,0,,46,BLEU,6.35/39.98/11.14/3.53/1.28/0.949/1706/1796
TIT,grc,yut,0,,46,CHRF3,35.90
TIT,grc,yut,0,,46,WER,71.29
TIT,grc,yut,0,,46,TER,90.60
TIT,grc,yut,0,,46,spBLEU,21.50
PHM,grc,yut,0,,25,BLEU,8.09/42.13/14.07/6.22/2.89/0.797/629/772
PHM,grc,yut,0,,25,CHRF3,33.63
PHM,grc,yut,0,,25,WER,65.33
PHM,grc,yut,0,,25,TER,85.94
PHM,grc,yut,0,,25,spBLEU,18.32
HEB,grc,yut,0,,298,BLEU,8.92/41.13/13.43/5.23/2.41/0.976/10517/10772
HEB,grc,yut,0,,298,CHRF3,37.18
HEB,grc,yut,0,,298,WER,72.95
HEB,grc,yut,0,,298,TER,90.18
HEB,grc,yut,0,,298,spBLEU,23.85
JAS,grc,yut,0,,108,BLEU,10.01/44.04/14.96/6.56/3.13/0.928/3583/3852
JAS,grc,yut,0,,108,CHRF3,37.68
JAS,grc,yut,0,,108,WER,67.93
JAS,grc,yut,0,,108,TER,85.82
JAS,grc,yut,0,,108,spBLEU,25.18
1PE,grc,yut,0,,105,BLEU,7.77/42.30/13.48/4.71/1.95/0.914/3650/3979
1PE,grc,yut,0,,105,CHRF3,36.82
1PE,grc,yut,0,,105,WER,69.72
1PE,grc,yut,0,,105,TER,87.13
1PE,grc,yut,0,,105,spBLEU,22.68
2PE,grc,yut,0,,61,BLEU,6.61/41.03/11.65/3.80/1.63/0.897/2335/2589
2PE,grc,yut,0,,61,CHRF3,35.10
2PE,grc,yut,0,,61,WER,71.95
2PE,grc,yut,0,,61,TER,89.54
2PE,grc,yut,0,,61,spBLEU,21.92
1JN,grc,yut,0,,103,BLEU,16.82/48.79/22.43/11.59/6.31/1.000/3794/3276
1JN,grc,yut,0,,103,CHRF3,49.42
1JN,grc,yut,0,,103,WER,67.43
1JN,grc,yut,0,,103,TER,82.91
1JN,grc,yut,0,,103,spBLEU,32.97
2JN,grc,yut,0,,13,BLEU,13.38/50.34/19.48/8.72/3.75/1.000/439/424
2JN,grc,yut,0,,13,CHRF3,44.71
2JN,grc,yut,0,,13,WER,66.52
2JN,grc,yut,0,,13,TER,79.84
2JN,grc,yut,0,,13,spBLEU,29.03
3JN,grc,yut,0,,15,BLEU,6.50/38.98/10.10/3.49/1.30/1.000/431/422
3JN,grc,yut,0,,15,CHRF3,38.20
3JN,grc,yut,0,,15,WER,74.04
3JN,grc,yut,0,,15,TER,90.19
3JN,grc,yut,0,,15,spBLEU,21.83
JUD,grc,yut,0,,25,BLEU,8.26/40.33/13.11/5.13/2.53/0.908/1024/1123
JUD,grc,yut,0,,25,CHRF3,36.77
JUD,grc,yut,0,,25,WER,71.27
JUD,grc,yut,0,,25,TER,88.32
JUD,grc,yut,0,,25,spBLEU,22.41
REV,grc,yut,0,,404,BLEU,10.84/45.07/16.44/6.60/2.89/0.994/16388/16484
REV,grc,yut,0,,404,CHRF3,40.92
REV,grc,yut,0,,404,WER,68.58
REV,grc,yut,0,,404,TER,85.55
REV,grc,yut,0,,404,spBLEU,28.32
