Language Family,Source,Target,Experiment,Metric,Overall,GEN,EXO,LEV,NUM,DEU,JOS,JDG,RUT,1SA,2SA,1KI,2KI,1CH,2CH,EZR,NEH,EST,JOB,PSA,PRO,ECC,SNG,ISA,JER,LAM,EZK,DAN,HOS,JOL,AMO,OBA,JON,MIC,NAM,HAB,ZEP,HAG,ZEC,MAL,MAT,MRK,LUK,JHN,ACT,ROM,1CO,2CO,GAL,EPH,PHP,COL,1TH,2TH,1TI,2TI,TIT,PHM,HEB,JAS,1PE,2PE,1JN,2JN,3JN,JUD,REV
Trans-NewGuinea,grc,yut,SourceText.Greek.Scenario1,BLEU,9.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.99,,14.30,11.83,6.58,3.99,3.37,2.71,4.19,4.15,2.83,3.30,4.55,5.12,2.93,3.54,2.52,3.46,2.96,3.45,3.76,2.39,6.92,5.36,2.58,2.77,3.75
Trans-NewGuinea,grc,yut,SourceText.Greek.Scenario1,spBLEU,21.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.04,,25.51,23.16,19.53,15.12,14.89,12.93,14.95,15.60,12.70,14.55,13.92,16.23,15.25,14.00,12.10,10.68,14.21,13.68,14.60,12.60,18.18,17.41,10.65,13.44,17.81
Trans-NewGuinea,grc,yut,SourceText.Greek.Scenario1,CHRF3,33.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.98,,38.59,37.92,32.69,29.03,28.20,27.06,28.83,28.54,27.17,27.58,29.61,30.82,28.02,27.82,26.18,25.31,26.86,27.23,27.28,25.54,34.22,32.37,27.30,26.52,29.61
Trans-NewGuinea,grc,yut,SourceText.Greek.Scenario1,WER,72.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.21,,71.84,74.14,75.34,74.53,75.39,74.20,73.69,73.77,77.46,73.84,80.82,75.40,73.31,73.30,69.77,73.30,73.49,74.02,72.85,71.37,77.87,78.82,79.63,70.73,72.47
Trans-NewGuinea,grc,yut,SourceText.Greek.Scenario1,TER,90.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,89.59,92.09,93.35,91.74,93.22,93.17,90.88,91.41,93.60,91.66,97.06,93.18,91.19,92.41,89.86,91.07,91.86,92.17,90.50,90.53,94.23,95.03,96.82,89.12,91.45
Trans-NewGuinea,kyc,hui,PartialNT4.Scenario2_reverse,BLEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans-NewGuinea,kyc,hui,PartialNT4.Scenario2_reverse,spBLEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans-NewGuinea,kyc,hui,PartialNT4.Scenario2_reverse,CHRF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans-NewGuinea,kyc,hui,PartialNT4.Scenario2_reverse,WER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans-NewGuinea,kyc,hui,PartialNT4.Scenario2_reverse,TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
