Series,Experiment,Complete,Parent,Source 1,Target 1,Source 2,Target 2,Best steps,Best BLEU ALL,Best CHRF3 ALL,Best WER ALL,Best TER ALL,Best spBLEU ALL,Last steps,Last BLEU ALL,Last CHRF3 ALL,Last WER ALL,Last TER ALL,Last spBLEU ALL
Afro-Asiatic,Overall.Run1,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,19000,31.10,53.04,51.62,66.47,39.47,23000,30.91,53.23,51.89,67.46,39.20
Afro-Asiatic,Overall.Run2,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,15000,27.97,50.57,54.25,70.52,36.42,16000,28.10,50.40,54.12,70.35,36.56
Afro-Asiatic,Overall.Run3,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,10000,29.76,52.46,51.62,67.49,38.40,14000,29.85,52.30,52.02,67.30,38.29
Afro-Asiatic,Overall.Run4,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,19000,31.42,53.22,50.77,66.64,40.29,23000,30.77,52.54,50.23,66.51,39.66
Afro-Asiatic,Overall.Run5,True,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,20000,29.87,51.00,52.34,67.24,38.01,24000,29.39,50.98,53.40,68.44,37.61
Afro-Asiatic,PartialNT.Scenario1,False,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,,,,,,,,,,,,
Afro-Asiatic,PartialNT.Scenario2,False,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,,,,,,,,,,,,
Afro-Asiatic,PartialNT.Scenario3,False,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,,,,,,,,,,,,,,
Afro-Asiatic,RelatedLanguage.PartialNT.Scenario1,False,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,hau-hausa,fuh-fuhbkf,,,,,,,,,,,,
Afro-Asiatic,RelatedLanguage.PartialNT.Scenario3,False,facebook/nllb-200-distilled-600M,hau-hausa,daa-daaNT,hau-hausa,fuh-fuhbkf,,,,,,,,,,,,
